distribution,alpha,ratio_epsilon_over_epsilon_sat,epsilon,epsilon_sat,m_cap,delta_mass_to_cap,grid_points,empirical_cvar,worst_case_cvar,worst_case_cvar_over_cap,at_cap,ratio_ge_1,threshold_transition_check,specified_point_mass_at_cap
"Beta(1,1)",0.99,0.5,2.5000000000000042e-05,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,0.9975,0.9975,False,False,True,0.0
"Beta(1,1)",0.99,0.75,3.7500000000000064e-05,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,0.99875,0.99875,False,False,True,0.0
"Beta(1,1)",0.99,0.9,4.500000000000008e-05,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,0.9995,0.9995,False,False,True,0.0
"Beta(1,1)",0.99,0.99,4.9500000000000085e-05,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,0.99995,0.99995,False,False,True,0.0
"Beta(1,1)",0.99,1.0,5.0000000000000084e-05,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.99,1.1,5.50000000000001e-05,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.99,1.25,6.250000000000011e-05,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,1.0,1.0,True,True,True,0.0
"Beta(1,1)",0.99,1.5,7.500000000000013e-05,5.0000000000000084e-05,0.00024999999999997247,0.009750000000000036,2001,0.995,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.9,0.0,0.0,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,0.5999679830266252,0.5999679830266252,False,False,True,0.0
"Beta(2,5)",0.9,0.25,0.01000080042433436,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,0.699975987269969,0.699975987269969,False,False,True,0.0
"Beta(2,5)",0.9,0.5,0.02000160084866872,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,0.7999839915133126,0.7999839915133126,False,False,True,0.0
"Beta(2,5)",0.9,0.75,0.03000240127300308,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,0.8999919957566563,0.8999919957566563,False,False,True,0.0
"Beta(2,5)",0.9,0.9,0.0360028815276037,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,0.9599967983026624,0.9599967983026624,False,False,True,0.0
"Beta(2,5)",0.9,0.99,0.039603169680364064,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,0.9959996798302662,0.9959996798302662,False,False,True,0.0
"Beta(2,5)",0.9,1.0,0.04000320169733744,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,0.9999999999999998,0.9999999999999998,True,True,True,0.0
"Beta(2,5)",0.9,1.1,0.04400352186707119,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.9,1.25,0.0500040021216718,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.9,1.5,0.06000480254600616,0.04000320169733744,0.0,0.09999999999999998,2001,0.5999679830266252,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.95,0.0,0.0,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,0.6568290951939921,0.6568290951939921,False,False,True,0.0
"Beta(2,5)",0.95,0.25,0.0042896363100751005,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,0.742621821395494,0.742621821395494,False,False,True,0.0
"Beta(2,5)",0.95,0.5,0.008579272620150201,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,0.828414547596996,0.828414547596996,False,False,True,0.0
"Beta(2,5)",0.95,0.75,0.012868908930225301,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,0.9142072737984981,0.9142072737984981,False,False,True,0.0
"Beta(2,5)",0.95,0.9,0.015442690716270363,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,0.9656829095193992,0.9656829095193992,False,False,True,0.0
"Beta(2,5)",0.95,0.99,0.016986959787897396,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,0.99656829095194,0.99656829095194,False,False,True,0.0
"Beta(2,5)",0.95,1.0,0.017158545240300402,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,0.9999999999999999,0.9999999999999999,True,True,True,0.0
"Beta(2,5)",0.95,1.1,0.018874399764330443,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.95,1.25,0.021448181550375502,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.95,1.5,0.025737817860450603,0.017158545240300402,0.0,0.050000000000000044,2001,0.6568290951939921,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.99,0.0,0.0,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,0.7570158782217118,0.7570158782217118,False,False,True,0.0
"Beta(2,5)",0.99,0.25,0.0006074603044457208,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,0.8177619086662838,0.8177619086662838,False,False,True,0.0
"Beta(2,5)",0.99,0.5,0.0012149206088914416,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,0.8785079391108559,0.8785079391108559,False,False,True,0.0
"Beta(2,5)",0.99,0.75,0.0018223809133371624,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,0.9392539695554278,0.9392539695554278,False,False,True,0.0
"Beta(2,5)",0.99,0.9,0.002186857096004595,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,0.9757015878221711,0.9757015878221711,False,False,True,0.0
"Beta(2,5)",0.99,0.99,0.002405542805605054,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,0.9975701587822171,0.9975701587822171,False,False,True,0.0
"Beta(2,5)",0.99,1.0,0.002429841217782883,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.99,1.1,0.0026728253395611715,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.99,1.25,0.003037301522228604,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,1.0,1.0,True,True,True,0.0
"Beta(2,5)",0.99,1.5,0.0036447618266743247,0.002429841217782883,0.0,0.010000000000000009,2001,0.7570158782217118,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.9,0.0,0.0,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,0.9403363451088984,0.9403363451088984,False,False,True,0.0
"Beta(5,2)",0.9,0.25,0.0014915913722775406,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,0.9552522588316738,0.9552522588316738,False,False,True,0.0
"Beta(5,2)",0.9,0.5,0.0029831827445550812,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,0.9701681725544492,0.9701681725544492,False,False,True,0.0
"Beta(5,2)",0.9,0.75,0.004474774116832622,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,0.9850840862772245,0.9850840862772245,False,False,True,0.0
"Beta(5,2)",0.9,0.9,0.005369728940199147,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,0.9940336345108898,0.9940336345108898,False,False,True,0.0
"Beta(5,2)",0.9,0.99,0.0059067018342190605,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,0.9994033634510889,0.9994033634510889,False,False,True,0.0
"Beta(5,2)",0.9,1.0,0.0059663654891101625,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.9,1.1,0.006563002038021179,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.9,1.25,0.007457956861387703,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.9,1.5,0.008949548233665243,0.0059663654891101625,9.368751757721228e-07,0.0999990631248242,2001,0.9403363451088984,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.95,0.0,0.0,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,0.959027497254669,0.959027497254669,False,False,True,0.0
"Beta(5,2)",0.95,0.25,0.0005121562843166386,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,0.9692706229410017,0.9692706229410017,False,False,True,0.0
"Beta(5,2)",0.95,0.5,0.0010243125686332773,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,0.9795137486273345,0.9795137486273345,False,False,True,0.0
"Beta(5,2)",0.95,0.75,0.001536468852949916,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,0.9897568743136672,0.9897568743136672,False,False,True,0.0
"Beta(5,2)",0.95,0.9,0.001843762623539899,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,0.9959027497254669,0.9959027497254669,False,False,True,0.0
"Beta(5,2)",0.95,0.99,0.002028138885893889,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,0.9995902749725467,0.9995902749725467,False,False,True,0.0
"Beta(5,2)",0.95,1.0,0.0020486251372665546,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.95,1.1,0.00225348765099321,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.95,1.25,0.002560781421583193,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.95,1.5,0.003072937705899832,0.0020486251372665546,9.368751757721228e-07,0.04999906312482427,2001,0.959027497254669,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.99,0.0,0.0,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,0.9823220625459053,0.9823220625459053,False,False,True,0.0
"Beta(5,2)",0.99,0.25,4.419484363523675e-05,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,0.986741546909429,0.986741546909429,False,False,True,0.0
"Beta(5,2)",0.99,0.5,8.83896872704735e-05,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,0.9911610312729526,0.9911610312729526,False,False,True,0.0
"Beta(5,2)",0.99,0.75,0.00013258453090571025,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,0.9955805156364763,0.9955805156364763,False,False,True,0.0
"Beta(5,2)",0.99,0.9,0.00015910143708685231,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,0.9982322062545905,0.9982322062545905,False,False,True,0.0
"Beta(5,2)",0.99,0.99,0.00017501158079553754,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,0.999823220625459,0.999823220625459,False,False,True,0.0
"Beta(5,2)",0.99,1.0,0.000176779374540947,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.99,1.1,0.00019445731199504174,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.99,1.25,0.00022097421817618377,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,1.0,1.0,True,True,True,0.0
"Beta(5,2)",0.99,1.5,0.0002651690618114205,0.000176779374540947,9.368751757721228e-07,0.009999063124824237,2001,0.9823220625459053,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.9,0.0,0.0,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,0.7358479400236895,0.7358479400236895,False,False,True,0.0
"Beta(0.7,2)",0.9,0.25,0.006603801499407764,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,0.8018859550177672,0.8018859550177672,False,False,True,0.0
"Beta(0.7,2)",0.9,0.5,0.013207602998815527,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,0.8679239700118447,0.8679239700118447,False,False,True,0.0
"Beta(0.7,2)",0.9,0.75,0.01981140449822329,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,0.9339619850059224,0.9339619850059224,False,False,True,0.0
"Beta(0.7,2)",0.9,0.9,0.02377368539786795,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,0.973584794002369,0.973584794002369,False,False,True,0.0
"Beta(0.7,2)",0.9,0.99,0.026151053937654743,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,0.9973584794002368,0.9973584794002368,False,False,True,0.0
"Beta(0.7,2)",0.9,1.0,0.026415205997631055,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.9,1.1,0.029056726597394163,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.9,1.25,0.033019007497038816,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.9,1.5,0.03962280899644658,0.026415205997631055,3.7189359591849325e-08,0.09999996281064039,2001,0.7358479400236895,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.95,0.0,0.0,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,0.8111990001868005,0.8111990001868005,False,False,True,0.0
"Beta(0.7,2)",0.95,0.25,0.0023600124976649963,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,0.8583992501401003,0.8583992501401003,False,False,True,0.0
"Beta(0.7,2)",0.95,0.5,0.004720024995329993,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,0.9055995000934002,0.9055995000934002,False,False,True,0.0
"Beta(0.7,2)",0.95,0.75,0.007080037492994989,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,0.9527997500467001,0.9527997500467001,False,False,True,0.0
"Beta(0.7,2)",0.95,0.9,0.008496044991593987,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,0.98111990001868,0.98111990001868,False,False,True,0.0
"Beta(0.7,2)",0.95,0.99,0.009345649490753385,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,0.998111990001868,0.998111990001868,False,False,True,0.0
"Beta(0.7,2)",0.95,1.0,0.009440049990659985,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.95,1.1,0.010384054989725985,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.95,1.25,0.011800062488324981,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.95,1.5,0.014160074985989979,0.009440049990659985,3.7189359591849325e-08,0.04999996281064045,2001,0.8111990001868005,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.99,0.0,0.0,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,0.9144346333695607,0.9144346333695607,False,False,True,0.0
"Beta(0.7,2)",0.99,0.25,0.00021391341657609855,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,0.9358259750271705,0.9358259750271705,False,False,True,0.0
"Beta(0.7,2)",0.99,0.5,0.0004278268331521971,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,0.9572173166847804,0.9572173166847804,False,False,True,0.0
"Beta(0.7,2)",0.99,0.75,0.0006417402497282957,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,0.9786086583423902,0.9786086583423902,False,False,True,0.0
"Beta(0.7,2)",0.99,0.9,0.0007700882996739547,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,0.9914434633369561,0.9914434633369561,False,False,True,0.0
"Beta(0.7,2)",0.99,0.99,0.0008470971296413503,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,0.9991443463336956,0.9991443463336956,False,False,True,0.0
"Beta(0.7,2)",0.99,1.0,0.0008556536663043942,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.99,1.1,0.0009412190329348337,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.99,1.25,0.0010695670828804928,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,1.0,1.0,True,True,True,0.0
"Beta(0.7,2)",0.99,1.5,0.0012834804994565914,0.0008556536663043942,3.7189359591849325e-08,0.009999962810640417,2001,0.9144346333695607,1.0,1.0,True,True,True,0.0
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,0.0,0.0,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,0.6941453262837675,0.6941453262837675,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,0.25,0.007646366842905809,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,0.7706089947128255,0.7706089947128255,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,0.5,0.015292733685811619,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,0.8470726631418837,0.8470726631418837,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,0.75,0.022939100528717428,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,0.9235363315709417,0.9235363315709417,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,0.9,0.027526920634460914,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,0.9694145326283767,0.9694145326283767,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,0.99,0.030279612697907004,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,0.9969414532628376,0.9969414532628376,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,1.0,0.030585467371623237,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,0.9999999999999998,0.9999999999999998,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,1.1,0.033644014108785564,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,1.25,0.03823183421452905,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.9,1.5,0.045878201057434856,0.030585467371623237,0.02,0.07999999999999997,2001,0.6941453262837675,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,0.0,0.0,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,0.8149060445976538,0.8149060445976538,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,0.25,0.00231367444252933,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,0.8611795334482404,0.8611795334482404,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,0.5,0.00462734888505866,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,0.907453022298827,0.907453022298827,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,0.75,0.00694102332758799,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,0.9537265111494134,0.9537265111494134,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,0.9,0.008329227993105589,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,0.9814906044597653,0.9814906044597653,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,0.99,0.009162150792416146,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,0.9981490604459765,0.9981490604459765,False,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,1.0,0.00925469777011732,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,1.1,0.010180167547129053,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,1.25,0.01156837221264665,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.95,1.5,0.01388204665517598,0.00925469777011732,0.02,0.030000000000000044,2001,0.8149060445976538,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,0.0,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,0.25,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,0.5,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,0.75,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,0.9,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,0.99,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,False,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,1.0,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,1.1,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,1.25,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,True,True,0.02
"0.02 mass at 1 + 0.98 Beta(2,5)",0.99,1.5,0.0,0.0,0.02,0.0,2001,1.0,1.0,1.0,True,True,True,0.02
"0.04 mass at 1 + 0.96 Beta(2,5)",0.9,0.0,0.0,0.021623283773639652,0.04,0.05999999999999998,2001,0.7837671622636032,0.7837671622636032,0.7837671622636032,False,False,True,0.04
"0.04 mass at 1 + 0.96 Beta(2,5)",0.9,0.25,0.005405820943409913,0.021623283773639652,0.04,0.05999999999999998,2001,0.7837671622636032,0.8378253716977023,0.8378253716977023,False,False,True,0.04
"0.04 mass at 1 + 0.96 Beta(2,5)",0.9,0.5,0.010811641886819826,0.021623283773639652,0.04,0.05999999999999998,2001,0.7837671622636032,0.8918835811318014,0.8918835811318014,False,False,True,0.04
