transition,observations,m_cap,empirical_cvar95,epsilon_primary,epsilon_sat,saturation_ratio,empirical_saturation,dro_induced_saturation,unsaturated,observed_phase3_dro_cvar,predicted_saturated,observed_saturated,total_saturated_under_primary_radius,delta_mass_to_cap,tail_score,mean_burden_score,dro_score,mismatch,mismatch_reason
Receive Order Confirmation -> Record Goods Receipt,9034,0.00011069293779056896,703.7892406464465,39.559648078649,72.81053796767776,0.5433231120502148,False,False,True,1612.980482652237,False,False,False,0.049889307062209474,11.817062452228637,2.293701985520447,23.1938960051717,False,none
Create Purchase Order Item -> Change Quantity,5613,0.0016034206306787815,1423.1191876002135,86.35319524849585,36.84404061998938,2.343749322696321,False,True,False,2160.0,True,True,True,0.04839657936932126,15.334979825519916,2.886414696579558,19.86411589704574,False,none
Change Quantity -> Record Goods Receipt,4162,0.0004805382027871216,974.1624219125417,84.82925663306277,59.29187890437295,1.430706164159125,False,True,False,2160.0,True,True,True,0.04951946179721292,7.175088646973623,1.0226588434039023,14.073143414864806,False,none
Record Invoice Receipt -> Record Goods Receipt,9918,0.00030248033877797946,363.9540229885056,22.738039683082924,89.80229885057484,0.2532010869890707,False,False,True,865.9338533408426,False,False,False,0.049697519661222066,6.246459880140296,0.9529972502893436,13.17220739069792,False,none
Create Purchase Order Item -> Delete Purchase Order Item,3729,0.003218020917135961,1052.2799678197903,91.01370306195554,55.386001609010506,1.6432618426665577,False,True,False,2160.0,True,True,True,0.046781979082864085,9.638897165469125,1.0439513690709838,12.81936022624112,False,none
Receive Order Confirmation -> Vendor creates invoice,4382,0.0,664.5732542218163,52.21935034703996,74.77133728890928,0.6983872729903091,False,False,True,1757.7776216136317,False,False,False,0.050000000000000044,4.9047842338471535,1.1730810247736654,12.091885637453869,False,none
Create Purchase Order Item -> Change Price,3219,0.0,1134.6803355079214,147.64950902032788,51.26598322460397,2.88006782925538,False,True,False,2160.0,True,True,True,0.050000000000000044,6.868191763396566,0.9128599365187136,10.887944870397847,False,none
Change Quantity -> Vendor creates invoice,2926,0.005126452494873548,1395.8222829801773,138.83326819831157,38.208885850991194,3.6335335382387246,False,True,False,2160.0,True,True,True,0.044873547505126496,8.31170291606739,1.4835875161216496,10.311793848993752,False,none
Create Purchase Order Item -> Receive Order Confirmation,14511,0.0,199.0357659706428,11.139614503556183,98.04821170146796,0.11361364282169159,False,False,True,439.7638166577439,False,False,False,0.050000000000000044,4.7870595878414575,0.3265635285208598,9.71399719591138,False,none
Record Goods Receipt -> Record Goods Receipt,25747,0.0,112.99491202858576,3.924989643957855,102.35025439857084,0.03834860662557045,False,False,True,202.4313969270723,False,False,False,0.050000000000000044,4.825996586984161,0.2434728598051711,7.912540951107066,False,none
Record Invoice Receipt -> Record Invoice Receipt,2132,0.0009380863039399625,811.9924953095681,65.08857712380374,67.40037523452168,0.9657005157215526,False,False,True,2160.0,False,True,False,0.04906191369606008,3.853667097587699,0.3375227142872298,7.188793426155644,True,"Phase 3 observed metric uses its H1-origin extraction convention, while Phase 3B uses the strict H1 timestamp window"
Change Price -> Vendor creates invoice,2030,0.0004926108374384236,1179.0738916256155,72.31663020256588,49.04630541871928,1.4744562222410562,False,True,False,2160.0,True,True,True,0.04950738916256162,4.06969857250461,0.7715733568546503,6.900717915453596,False,none
Vendor creates invoice -> Create Purchase Order Item,1763,0.04254112308564946,2141.6222348269994,445.86538180835663,0.9188882586500392,485.2226346469898,False,True,False,2160.0,True,True,True,0.0074588769143505845,6.403132942422786,1.6332390409405295,6.403132942422786,False,none
Record Invoice Receipt -> Vendor creates invoice,1734,0.0011534025374855825,809.6055363321797,84.08055326374463,67.51972318339111,1.2452739629185454,False,True,False,2160.0,True,True,True,0.04884659746251446,2.4687506472656207,0.2893979785610471,5.748415872645406,False,none
Clear Invoice -> Record Invoice Receipt,1061,0.0,1112.6182846371344,618.3516813982625,52.36908576814334,11.807570675110243,False,True,False,2160.0,True,True,True,0.050000000000000044,5.113340314961346,1.656478213228619,5.113340314961346,False,none
Record Service Entry Sheet -> Vendor creates invoice,1448,0.0006906077348066298,821.1712707182319,186.8638376057611,66.94143646408847,2.7914524616753096,False,True,False,2160.0,True,True,True,0.049309392265193416,2.250827615925588,0.5604636770951578,4.959481803563662,False,none
Vendor creates invoice -> Change Quantity,1308,0.0,562.2018348623851,53.8888128160125,79.88990825688083,0.6745384240865131,False,False,True,1987.6863205600864,False,False,False,0.050000000000000044,1.923948979555752,0.2285340197758908,4.220422224468962,False,none
Change Price -> Record Goods Receipt,1195,0.0016736401673640166,1043.4476987447697,108.42857078716206,55.82761506276158,1.9422031671112283,False,True,False,2160.0,True,True,True,0.04832635983263603,2.3060292319047258,0.5332836738518835,4.160726978435257,False,none
Record Invoice Receipt -> Cancel Invoice Receipt,727,0.0041265474552957355,1569.5075653370009,537.7453796416395,29.52462173314998,18.213455349297966,False,True,False,2160.0,True,True,True,0.04587345254470431,4.02978356447978,1.747656279600562,4.02978356447978,False,none
Change Quantity -> Change Quantity,1147,0.0017436791630340018,941.0636442894504,57.3026113057588,60.94681778552756,0.9402067800718857,False,False,True,2160.0,False,True,False,0.04825632083696604,1.9259009053383176,0.2447868153318976,3.8661042970354353,True,"Phase 3 observed metric uses its H1-origin extraction convention, while Phase 3B uses the strict H1 timestamp window"
Record Invoice Receipt -> Change Price,1066,0.012195121951219513,1514.3414634146336,219.475689852838,32.28292682926836,6.798506560869098,False,True,False,2160.0,True,True,True,0.037804878048780535,3.643856167348916,0.6188108650701877,3.807179760755471,False,none
Cancel Invoice Receipt -> Clear Invoice,1022,0.0,1303.8904109589039,212.4794630837734,42.80547945205485,4.963837943265309,False,True,False,2160.0,True,True,True,0.050000000000000044,2.4357851376194057,0.3508155925719924,3.5125570793556493,False,none
Clear Invoice -> Clear Invoice,766,0.0013054830287206266,1246.0574412532633,243.63475542664423,45.69712793733689,5.331511331756633,False,True,False,2160.0,True,True,True,0.04869451697127942,2.72854935207764,0.6942271736884568,3.123000422838108,False,none
Vendor creates invoice -> Vendor creates invoice,796,0.001256281407035176,877.3869346733667,68.23408453286882,64.13065326633173,1.0639854898950696,False,True,False,2160.0,True,True,True,0.04874371859296487,1.2905746506281188,0.2582707285394504,2.746538107716113,False,none
Vendor creates invoice -> Clear Invoice,611,0.09165302782324058,2160.0,740.3163628640776,0.0,,True,False,False,2160.0,True,True,True,0.0,2.6188682791095217,1.106078664053861,2.618868279109524,False,none
Create Purchase Requisition Item -> Create Purchase Order Item,1090,0.0009174311926605505,358.6788990825686,52.01022786656521,90.06605504587165,0.5774675913147946,False,False,True,1550.1223655504396,False,False,False,0.049082568807339494,0.8505666384269406,0.0691153640777557,2.572468223152025,False,none
Create Purchase Order Item -> Vendor creates debit memo,755,0.0026490066225165563,1258.0132450331123,128.8322012820513,45.09933774834441,2.856631775857523,False,True,False,2160.0,True,True,True,0.04735099337748349,1.5283167658593322,0.3287865102014113,2.5533965721317857,False,none
Create Purchase Order Item -> Change Approval for Purchase Order,1443,0.0,323.80873180873164,39.71076252252803,91.80956340956351,0.43253405252977695,False,False,True,1123.298871735978,False,False,False,0.050000000000000044,0.723078145230997,0.0619903904104156,2.4633933855419072,False,none
Release Purchase Order -> Change Approval for Purchase Order,858,0.0,431.5524475524475,72.7471794871795,86.4223776223777,0.8417632271707226,False,False,True,1886.4960372959747,False,False,False,0.050000000000000044,0.5636090975361723,0.0859319690363282,2.45308785484672,False,none
Vendor creates debit memo -> Record Invoice Receipt,623,0.0032102728731942215,1505.643659711075,218.92541708377763,32.71781701444627,6.691321031201838,False,True,False,2160.0,True,True,True,0.046789727126805826,2.129882075150001,0.4765378147100174,2.415905987478536,False,none
Record Service Entry Sheet -> Record Invoice Receipt,653,0.0030627871362940277,928.575803981623,135.57973474001142,61.571209800918886,2.20199887542226,False,True,False,2160.0,True,True,True,0.046937212863706015,2.3406135244541373,0.2918229576338444,2.3406135244541373,False,none
Record Goods Receipt -> Change Quantity,693,0.0,670.9610389610388,50.423635780885775,74.45194805194816,0.677264156281084,False,False,True,2032.75243589744,False,False,False,0.050000000000000044,1.1087939212349094,0.1257317195770002,2.202725853392889,False,none
Create Purchase Order Item -> Cancel Goods Receipt,622,0.0,503.45980707395483,320.9791467139503,82.82700964630233,3.8752956080949117,False,True,False,2160.0,True,True,True,0.050000000000000044,1.3065202444479125,0.1460673782673337,2.09509462328762,False,none
Change Price -> Remove Payment Block,994,0.0,414.0362173038227,43.87364502164501,87.29818913480898,0.5025722235073372,False,False,True,1367.135238095227,False,False,False,0.050000000000000044,0.7449038409562905,0.0418564765208658,2.0740320922504263,False,none
Change Approval for Purchase Order -> Change Approval for Purchase Order,515,0.013592233009708738,1914.407766990291,410.08195941601207,12.279611650485457,33.3953524824867,False,True,False,2160.0,True,True,True,0.03640776699029131,1.897343596629621,0.3864767077835048,1.9837927214254645,False,none
Change Price -> Change Quantity,548,0.0036496350364963502,1676.8467153284669,277.1537126595605,24.15766423357667,11.47270323735791,False,True,False,2160.0,True,True,True,0.04635036496350369,1.5171539408562142,0.3086665393605698,1.951056867936596,False,none
Receive Order Confirmation -> Delete Purchase Order Item,552,0.0018115942028985507,1058.260869565217,187.09166037219487,55.086956521739175,3.3962969128338423,False,True,False,2160.0,True,True,True,0.04818840579710149,1.2353465378046051,0.2143318122275485,1.898679502354405,False,none
Create Purchase Order Item -> Record Invoice Receipt,513,0.0,716.7251461988302,188.8969730639366,72.16374269005856,2.617616077304143,False,True,False,2160.0,True,True,True,0.050000000000000044,0.9383163566611648,0.1710006562326185,1.7415474056078335,False,none
Record Goods Receipt -> Cancel Goods Receipt,524,0.003816793893129771,821.8625954198468,61.9206287450653,66.9068702290077,0.9254748956740082,False,False,True,2160.0,False,True,False,0.046183206106870274,0.8820316032333723,0.0620877391599111,1.7415474056078335,True,"Phase 3 observed metric uses its H1-origin extraction convention, while Phase 3B uses the strict H1 timestamp window"
Clear Invoice -> Vendor creates invoice,467,0.0,1025.2162740899355,103.75684975297878,56.73918629550327,1.8286629845659557,False,True,False,2160.0,True,True,True,0.050000000000000044,1.36725161797461,0.2256592763456683,1.695717210723417,False,none
Change Quantity -> Change Delivery Indicator,506,0.0,825.5810276679833,54.79230983405729,66.72094861660088,0.8212159894325062,False,False,True,2160.0,False,True,False,0.050000000000000044,0.8379844262208117,0.0428098577354367,1.6728021132812083,True,"Phase 3 observed metric uses its H1-origin extraction convention, while Phase 3B uses the strict H1 timestamp window"
Vendor creates debit memo -> Record Goods Receipt,744,0.0,467.0967741935482,45.24399081937967,84.64516129032268,0.534513611052122,False,False,True,1439.4396061379216,False,False,False,0.050000000000000044,0.6174078963122149,0.1030837881242608,1.66015264648303,False,none
Record Service Entry Sheet -> Record Goods Receipt,8958,0.0,48.17146684527792,3.2958454841271414,105.5914266577362,0.03121319209759602,False,False,True,119.53592541738529,False,False,False,0.050000000000000044,0.7382225189329923,0.0370407950366788,1.623397386989604,False,none
Vendor creates invoice -> Vendor creates debit memo,1695,0.0,119.22123893805299,14.19302062643234,102.03893805309745,0.1390941624563634,False,False,True,468.51923605805854,False,False,False,0.050000000000000044,0.4756398268030858,0.0237819913401543,1.207108380376522,False,none
Vendor creates debit memo -> Vendor creates invoice,1237,0.0,146.61924009700877,15.46607717041803,100.66903799514961,0.15363290916878744,False,False,True,502.71061093246817,False,False,False,0.050000000000000044,0.3644531066476513,0.0190519636207672,0.9477817670389214,False,none
Create Purchase Order Item -> Record Service Entry Sheet,1055,0.0018957345971563982,242.50236966824622,15.31041294218804,95.87488151658773,0.1596915970064497,False,False,True,548.7106285120019,False,False,False,0.04810426540284365,0.3896570616237284,0.0194830362099964,0.8773355941484087,False,none
Record Goods Receipt -> Record Service Entry Sheet,10435,0.0,15.823670340201234,0.6219860478563194,107.20881648299004,0.0058016315099887784,False,False,True,30.60238021567697,False,False,False,0.050000000000000044,0.2884896091450231,0.0145661413269437,0.4841545542565731,False,none
Record Service Entry Sheet -> Record Service Entry Sheet,75911,0.0,0.33512929614943787,0.0572968008202939,107.9832435351926,0.0005306082586935853,False,False,True,2.075421084836352,False,False,False,0.050000000000000044,0.1080040677329056,0.0054002033866452,0.2387768927509513,False,none
SRM: Created -> SRM: Complete,847,0.0,0.0,0.5246905372119781,108.0000000000001,0.004858245714925719,False,False,True,10.49381074424992,False,False,False,0.050000000000000044,0.002595301495695,0.0019018621547769,0.0134705880486546,False,none
SRM: Document Completed -> SRM: In Transfer to Execution Syst.,564,0.0,1.7021276595744665,0.5605501059224455,107.91489361702138,0.005194372038319186,False,False,True,12.913129778023336,False,False,False,0.050000000000000044,0.0027008089494165,0.000135565837712,0.0110377495840654,False,none
SRM: In Transfer to Execution Syst. -> SRM: Ordered,562,0.0,0.0,2.9655990510083866e-05,108.0000000000001,2.7459250472299853e-07,False,False,True,0.0011625148226812,False,False,False,0.050000000000000044,5.051829242109416e-07,2.5259146210547107e-08,9.90158526927312e-07,False,none
SRM: Awaiting Approval -> SRM: Document Completed,861,0.0,0.0,0.0,108.0000000000001,0.0,False,False,True,0.0,False,False,False,0.050000000000000044,0.0,0.0,0.0,False,none
SRM: Complete -> SRM: Awaiting Approval,861,0.0,0.0,0.0,108.0000000000001,0.0,False,False,True,0.0,False,False,False,0.050000000000000044,0.0,0.0,0.0,False,none
