transition,h1_count,q3_count,h1_mean_capped_hours,q3_mean_capped_hours,h1_median_capped_hours,q3_median_capped_hours,h1_p95_capped_hours,q3_p95_capped_hours,median_shift_hours,wasserstein_capped_hours,h1_total_capped_gap_hours,q3_total_capped_gap_hours,combined_capped_gap_hours,q3_to_h1_mean_ratio
Receive Order Confirmation -> Record Goods Receipt,9488,5405,159.77851145306352,192.09515880357694,119.70833333333334,124.7,478.8299999999999,577.5000000000001,4.99166666666666,36.66838846602539,1515978.5166666666,1038274.3333333334,2554252.85,1.2022590338126085
Clear Invoice -> Record Invoice Receipt,1562,1430,874.4854033290651,560.5892424242425,117.475,66.38333333333334,2880.0,2880.0,-51.091666666666654,317.7771596244131,1365946.1999999997,801642.6166666667,2167588.8166666664,0.6410504283892491
Record Invoice Receipt -> Cancel Invoice Receipt,1231,802,1026.8882886542108,563.55355361596,839.9166666666666,335.95,2880.0,2197.766666666667,-503.96666666666664,463.3347350382505,1264099.4833333334,451969.94999999995,1716069.4333333333,0.5487973325263311
Change Quantity -> Vendor creates invoice,3150,1531,319.2430476190476,252.94339211844112,173.65833333333333,105.08333333333333,1087.990833333333,911.2333333333333,-68.575,66.50532249558508,1005615.6,387256.3333333334,1392871.9333333333,0.7923223199531606
Vendor creates invoice -> Create Purchase Order Item,1956,620,582.863036809816,335.81005376344086,372.28333333333336,250.21666666666667,2334.25,777.7541666666663,-122.06666666666669,247.14486124854324,1140080.1,208202.23333333334,1348282.3333333335,0.5761388740679627
Receive Order Confirmation -> Vendor creates invoice,4539,1971,170.52886832635676,253.3119482496195,128.58333333333334,179.11666666666667,490.44999999999993,662.0,50.53333333333333,82.84624131309592,774030.5333333333,499277.85000000003,1273308.3833333333,1.485449066399908
Create Purchase Order Item -> Delete Purchase Order Item,3916,1651,186.7315117466803,306.4365334140924,20.666666666666668,32.85,909.9041666666667,1902.55,12.183333333333334,120.34343593311343,731240.6000000001,505926.7166666666,1237167.3166666667,1.6410542095851706
Change Quantity -> Record Goods Receipt,4299,2308,157.48574086996976,137.17809792027728,23.333333333333332,25.549999999999997,746.7533333333333,649.5375,2.216666666666665,24.575004469823497,677031.2,316607.05,993638.25,0.8710509101490035
Clear Invoice -> Clear Invoice,954,1040,492.26016771488463,490.92293269230765,357.95,334.9916666666667,1513.3,1516.2683333333327,-22.958333333333314,47.34303375127667,469616.19999999995,510559.85,980176.0499999999,0.9972834791228701
Record Goods Receipt -> Remove Payment Block,9585,2729,64.31182229177534,132.3441920117259,8.6,13.05,317.56333333333333,912.7333333333333,4.450000000000001,68.03236971995057,616428.8166666667,361167.3,977596.1166666667,2.0578516872262695
Record Invoice Receipt -> Record Goods Receipt,10037,2707,62.926440503470495,90.379288264992,26.766666666666666,29.683333333333334,191.85666666666626,421.04333333333324,2.916666666666668,28.719625872757433,631592.6833333333,244656.73333333334,876249.4166666667,1.436268880646561
Create Purchase Order Item -> Change Price,3326,1511,184.77740028061734,124.05786454886388,47.35,19.466666666666665,1078.6166666666666,502.55,-27.883333333333336,60.75863307615601,614569.6333333333,187451.43333333332,802021.0666666667,0.6713908971576608
Change Price -> Vendor creates invoice,2108,698,243.39372232764075,405.82373447946514,88.18333333333334,127.98333333333333,947.0833333333334,2880.0,39.8,162.76267382727193,513073.9666666667,283264.9666666667,796338.9333333333,1.6673549777638543
Change Price -> Record Goods Receipt,1271,825,277.6529766587989,263.69404040404044,189.35,118.4,842.125,958.7466666666658,-70.94999999999999,70.59737076508598,352896.93333333335,217547.58333333337,570444.5166666667,0.9497252418369991
Record Service Entry Sheet -> Vendor creates invoice,1515,661,244.8386688668867,269.1424357034796,145.13333333333333,132.5,721.2883333333333,937.3,-12.633333333333326,35.50153173259839,370930.5833333334,177903.15,548833.7333333334,1.0992644133750225
Record Invoice Receipt -> Record Invoice Receipt,2196,1928,105.06343351548267,126.9294951590595,1.8,2.35,547.525,635.617499999998,0.55,22.963806002111276,230719.29999999996,244720.0666666667,475439.3666666667,1.2081224733660978
Cancel Invoice Receipt -> Clear Invoice,1073,1118,217.90748679714198,130.4605694692904,0.016666666666666666,0.03333333333333333,1143.913333333333,939.0041666666589,0.016666666666666666,87.5369529004052,233814.73333333334,145854.91666666666,379669.65,0.5986970497748014
Create Purchase Order Item -> Receive Order Confirmation,14575,7634,14.783906232132649,15.985518731988474,1.35,1.25,66.85333333333328,47.9,-0.10000000000000009,2.7742859748592443,215475.43333333335,122033.45000000001,337508.88333333336,1.0812784172862335
Create Purchase Requisition Item -> Create Purchase Order Item,1095,11853,44.14092846270928,22.37827835428443,14.2,10.983333333333333,64.21,59.68333333333333,-3.216666666666667,22.65442202367126,48334.316666666666,265249.73333333334,313584.05,0.5069734401529372
Record Invoice Receipt -> Vendor creates invoice,1756,978,109.07058656036448,95.93237900477165,9.466666666666667,9.991666666666667,514.25,477.45,0.5250000000000004,14.026326894798752,191527.95,93821.86666666667,285349.81666666665,0.879543991006947
Record Goods Receipt -> Record Goods Receipt,25791,13802,6.22891577165161,5.90312756605323,0.0,0.0,9.35,3.25,0.0,0.4438903895570884,160649.96666666667,81474.96666666667,242124.93333333335,0.9476974456644488
Change Quantity -> Change Quantity,1181,558,137.2233700254022,121.96036439665471,3.3666666666666667,1.9666666666666668,650.75,622.8674999999998,-1.4,19.49864124524405,162060.8,68053.88333333333,230114.68333333332,0.8887725492682327
Vendor creates invoice -> Change Quantity,1401,622,107.63234594337379,79.98721864951769,57.05,39.84166666666667,393.15,327.5183333333333,-17.20833333333333,28.26182406457493,150792.9166666667,49752.05,200544.96666666667,0.7431522368898247
Record Service Entry Sheet -> Record Goods Receipt,8961,5119,2.7326116876836664,1.7854952139089668,0.0,0.0,0.15,0.4,0.0,0.9885090029706778,24486.933333333334,9139.95,33626.88333333333,0.6534024654715815
Vendor creates invoice -> Vendor creates debit memo,1700,583,9.428235294117647,15.643224699828474,0.0,0.0,0.0,48.0,0.0,7.822270204822932,16028.0,9120.0,25148.0,1.659189043530597
Create Purchase Order Item -> Record Service Entry Sheet,1055,559,13.550173775671405,3.5000596302921885,0.0,0.0,0.016666666666666666,0.0,0.0,10.050114145379213,14295.433333333332,1956.5333333333333,16251.966666666665,0.25830367109950675
Record Goods Receipt -> Record Service Entry Sheet,10439,5950,0.9206948302838716,0.8661848739495797,0.0,0.0,0.1,0.08333333333333333,0.0,0.2658146119258128,9611.133333333335,5153.799999999999,14764.933333333334,0.940794762236815
Record Service Entry Sheet -> Record Service Entry Sheet,75913,39195,0.0564224836325794,0.0017030233448143896,0.0,0.0,0.0,0.0,0.0,0.03546333333332944,4283.2,66.75,4349.95,0.030183416878710952
