transition,candidate_h1_only,phase3_h1_observations,recomputed_h1_observations,h1_observations_absolute_error,h1_observations_relative_error,h1_observations_pass,phase3_h1_frequency_share,recomputed_h1_frequency_share,h1_frequency_share_absolute_error,h1_frequency_share_relative_error,h1_frequency_share_pass,phase3_h1_mean_capped_elapsed_hours,recomputed_h1_mean_capped_elapsed_hours,h1_mean_capped_elapsed_hours_absolute_error,h1_mean_capped_elapsed_hours_relative_error,h1_mean_capped_elapsed_hours_pass,phase3_h1_empirical_cvar95_hours,recomputed_h1_empirical_cvar95_hours,h1_empirical_cvar95_hours_absolute_error,h1_empirical_cvar95_hours_relative_error,h1_empirical_cvar95_hours_pass,phase3_h1_grid_empirical_cvar95_hours,recomputed_h1_grid_empirical_cvar95_hours,h1_grid_empirical_cvar95_hours_absolute_error,h1_grid_empirical_cvar95_hours_relative_error,h1_grid_empirical_cvar95_hours_pass,phase3_epsilon_primary_hours,recomputed_epsilon_primary_hours,epsilon_primary_hours_absolute_error,epsilon_primary_hours_relative_error,epsilon_primary_hours_pass,phase3_h1_dro_worst_case_cvar95_hours,recomputed_h1_dro_worst_case_cvar95_hours,h1_dro_worst_case_cvar95_hours_absolute_error,h1_dro_worst_case_cvar95_hours_relative_error,h1_dro_worst_case_cvar95_hours_pass,phase3_mean_burden_score,recomputed_mean_burden_score,mean_burden_score_absolute_error,mean_burden_score_relative_error,mean_burden_score_pass,phase3_tail_score,recomputed_tail_score,tail_score_absolute_error,tail_score_relative_error,tail_score_pass,phase3_dro_score,recomputed_dro_score,dro_score_absolute_error,dro_score_relative_error,dro_score_pass,gate_pass
Create Purchase Order Item -> Change Quantity,True,6068.0,6068.0,0.0,0.0,True,0.0091963499523359,0.00919634995233599,9.020562075079397e-17,9.808850382850151e-15,True,313.8652521423863,313.8652521423863,0.0,0.0,True,1667.5072072072066,1667.5072072072066,0.0,0.0,True,1668.9413315754775,1668.9413315754775,0.0,0.0,True,86.35319524849585,86.35319524849585,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,2.886414696579558,2.886414696579558,0.0,0.0,True,15.334979825519916,15.334979825519916,0.0,0.0,True,19.86411589704574,19.86411589704574,0.0,0.0,True,True
Create Purchase Order Item -> Delete Purchase Order Item,True,3916.0,3916.0,0.0,0.0,True,0.0059348889936301,0.005934888993630149,4.85722573273506e-17,8.184189692424418e-15,True,175.90074055158323,175.90074055158325,2.842170943040401e-14,1.6157811127616763e-16,True,1624.1074055158315,1624.1074055158315,0.0,0.0,True,1623.7875383043915,1623.7875383043915,0.0,0.0,True,91.01370306195554,91.01370306195554,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,1.0439513690709838,1.0439513690709838,0.0,0.0,True,9.638897165469125,9.638897165469125,0.0,0.0,True,12.81936022624112,12.819360226241121,1.7763568394002505e-15,1.385682910886663e-16,True,True
Create Purchase Order Item -> Receive Order Confirmation,True,14575.0,14575.0,0.0,0.0,True,0.0220891233611234,0.022089123361123446,4.5102810375396984e-17,2.0418560591126675e-15,True,14.783906232132647,14.783906232132649,1.7763568394002505e-15,1.201547690785105e-16,True,216.71568896512284,216.71568896512284,0.0,0.0,True,216.9715265866208,216.9715265866208,0.0,0.0,True,11.139614503556183,11.139614503556183,0.0,0.0,True,439.7638166577439,439.76381665774386,5.684341886080802e-14,1.2925897199279514e-16,True,0.3265635285208598,0.3265635285208598,0.0,0.0,True,4.7870595878414575,4.7870595878414575,0.0,0.0,True,9.71399719591138,9.713997195911379,1.7763568394002505e-15,1.828656940675172e-16,True,True
Create Purchase Order Item -> Record Goods Receipt,True,40773.0,40773.0,0.0,0.0,True,0.0617934701065582,0.06179347010655824,3.469446951953614e-17,5.614585078279004e-16,True,363.9011110293577,363.90111102935765,5.684341886080802e-14,1.562056754924889e-16,True,1425.166770493545,1425.166770493545,0.0,0.0,True,1426.091972628945,1426.0919726289453,2.2737367544323206e-13,1.5943829697328533e-16,True,35.68772959829524,35.68772959829524,0.0,0.0,True,2139.846564594843,2139.846564594843,0.0,0.0,True,22.48671242613594,22.48671242613594,0.0,0.0,True,88.06600022935302,88.06600022935302,0.0,0.0,True,132.22854472191278,132.22854472191278,0.0,0.0,True,True
Create Purchase Order Item -> Record Invoice Receipt,True,532.0,532.0,0.0,0.0,True,0.0008062719470406,0.0008062719470406637,6.364266752489911e-17,7.893449320480248e-14,True,212.08806390977443,212.08806390977443,0.0,0.0,True,1163.7715538847112,1163.7715538847112,0.0,0.0,True,1164.992481203007,1164.992481203007,0.0,0.0,True,188.8969730639366,188.8969730639366,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.1710006562326185,0.17100065623261854,2.7755575615628914e-17,1.62312684799712e-16,True,0.9383163566611648,0.9383163566611648,0.0,0.0,True,1.7415474056078335,1.7415474056078335,0.0,0.0,True,True
Create Purchase Order Item -> Record Service Entry Sheet,True,1055.0,1055.0,0.0,0.0,True,0.0015989039551276,0.001598903955127632,3.187554387107383e-17,1.9935871550539765e-14,True,12.1852448657188,12.185244865718799,1.7763568394002505e-15,1.4577933057363014e-16,True,243.7026066350709,243.7026066350709,0.0,0.0,True,242.50236966824625,242.50236966824622,2.842170943040401e-14,1.1720178021058574e-16,True,15.31041294218804,15.31041294218804,0.0,0.0,True,548.7106285120019,548.7106285120019,0.0,0.0,True,0.0194830362099964,0.01948303620999646,5.898059818321144e-17,3.0272796060887853e-15,True,0.3896570616237284,0.3896570616237284,0.0,0.0,True,0.8773355941484087,0.8773355941484087,0.0,0.0,True,True
Create Purchase Order Item -> Vendor creates debit memo,True,780.0,780.0,0.0,0.0,True,0.0011821280426536,0.0011821280426536046,4.553649124439119e-18,3.852077744655515e-15,True,278.131047008547,278.131047008547,0.0,0.0,True,1292.8521367521355,1292.8521367521355,0.0,0.0,True,1292.307692307692,1292.307692307692,0.0,0.0,True,128.8322012820513,128.8322012820513,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.3287865102014113,0.32878651020141136,5.551115123125783e-17,1.6883646229053696e-16,True,1.5283167658593322,1.5283167658593322,0.0,0.0,True,2.5533965721317857,2.5533965721317857,0.0,0.0,True,True
Create Purchase Order Item -> Vendor creates invoice,True,59977.0,59977.0,0.0,0.0,True,0.090898068736199,0.09089806873619903,2.7755575615628914e-17,3.0534835339769553e-16,True,304.07566456030366,304.07566456030366,0.0,0.0,True,1608.045763098076,1608.045763098076,0.0,0.0,True,1605.9284058889236,1605.9284058889236,0.0,0.0,True,56.64266633175524,56.64266633175524,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,27.63989065820788,27.639890658207882,3.552713678800501e-15,1.2853573564139607e-16,True,146.16825430504252,146.16825430504252,0.0,0.0,True,196.3398284701899,196.3398284701899,0.0,0.0,True,True
Create Purchase Requisition Item -> Create Purchase Order Item,True,1095.0,1095.0,0.0,0.0,True,0.0016595259060329,0.001659525906032945,4.5102810375396984e-17,2.7178129736591666e-14,True,41.64765601217656,41.64765601217656,0.0,0.0,True,512.5359208523588,512.5359208523588,0.0,0.0,True,509.9178082191776,509.91780821917763,5.684341886080802e-14,1.1147564949599692e-16,True,52.01022786656521,52.01022786656521,0.0,0.0,True,1550.1223655504396,1550.1223655504396,0.0,0.0,True,0.0691153640777557,0.06911536407775574,4.163336342344337e-17,6.023749419391799e-16,True,0.8505666384269406,0.8505666384269406,0.0,0.0,True,2.572468223152025,2.5724682231520255,4.440892098500626e-16,1.726315628909591e-16,True,True
Receive Order Confirmation -> Delete Purchase Order Item,True,580.0,580.0,0.0,0.0,True,0.000879018288127,0.0008790182881270393,3.935653886122381e-17,4.4773287874458425e-14,True,243.8308908045977,243.83089080459774,5.684341886080802e-14,2.331264044241279e-16,True,1405.3706896551712,1405.3706896551712,0.0,0.0,True,1403.5862068965512,1403.5862068965512,0.0,0.0,True,187.09166037219487,187.09166037219487,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.2143318122275485,0.21433181222754857,8.326672684688674e-17,3.884944842368309e-16,True,1.2353465378046051,1.2353465378046053,2.220446049250313e-16,1.7974276701308254e-16,True,1.898679502354405,1.898679502354405,0.0,0.0,True,True
Receive Order Confirmation -> Record Goods Receipt,True,9488.0,9488.0,0.0,0.0,True,0.0143795267547402,0.014379526754740258,5.898059818321144e-17,4.10170648792517e-15,True,159.51164629005058,159.51164629005058,0.0,0.0,True,821.797730466554,821.797730466554,0.0,0.0,True,821.7875210792577,821.7875210792577,0.0,0.0,True,39.559648078649,39.559648078649,0.0,0.0,True,1612.980482652237,1612.980482652237,0.0,0.0,True,2.293701985520447,2.293701985520447,0.0,0.0,True,11.817062452228637,11.817062452228637,0.0,0.0,True,23.1938960051717,23.1938960051717,0.0,0.0,True,True
Receive Order Confirmation -> Vendor creates invoice,True,4539.0,4539.0,0.0,0.0,True,0.0068790758789803,0.006879075878980399,9.8879238130678e-17,1.4373912989216087e-14,True,170.52886832635676,170.52886832635676,0.0,0.0,True,713.0004553132112,713.0004553132112,0.0,0.0,True,713.3906146728352,713.3906146728352,0.0,0.0,True,52.21935034703996,52.21935034703996,0.0,0.0,True,1757.7776216136317,1757.7776216136315,2.2737367544323206e-13,1.2935292419669336e-16,True,1.1730810247736654,1.1730810247736654,0.0,0.0,True,4.9047842338471535,4.9047842338471535,0.0,0.0,True,12.091885637453869,12.091885637453867,1.7763568394002505e-15,1.469048660118067e-16,True,True
Record Goods Receipt -> Cancel Goods Receipt,True,532.0,532.0,0.0,0.0,True,0.0008062719470406,0.0008062719470406637,6.364266752489911e-17,7.893449320480248e-14,True,77.0059523809524,77.0059523809524,0.0,0.0,True,1093.9629072681698,1093.9629072681698,0.0,0.0,True,1093.353383458646,1093.353383458646,0.0,0.0,True,61.9206287450653,61.9206287450653,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.0620877391599111,0.062087739159911115,1.3877787807814457e-17,2.2351897485059474e-16,True,0.8820316032333723,0.8820316032333723,0.0,0.0,True,1.7415474056078335,1.7415474056078335,0.0,0.0,True,True
Record Goods Receipt -> Change Quantity,True,715.0,715.0,0.0,0.0,True,0.0010836173724324,0.001083617372432471,7.090682208055199e-17,6.543529467545097e-14,True,116.02962703962704,116.02962703962704,0.0,0.0,True,1023.2337995337992,1023.2337995337992,0.0,0.0,True,1024.2797202797196,1024.2797202797196,0.0,0.0,True,50.423635780885775,50.423635780885775,0.0,0.0,True,2032.75243589744,2032.75243589744,0.0,0.0,True,0.1257317195770002,0.12573171957700024,5.551115123125783e-17,4.415047485074908e-16,True,1.1087939212349094,1.1087939212349094,0.0,0.0,True,2.202725853392889,2.202725853392889,0.0,0.0,True,True
Record Goods Receipt -> Record Goods Receipt,True,25791.0,25791.0,0.0,0.0,True,0.0390875183949732,0.03908751839497323,2.7755575615628914e-17,7.100879450867974e-16,True,6.22891577165161,6.22891577165161,0.0,0.0,True,123.46643596603457,123.46643596603457,0.0,0.0,True,123.9316040479236,123.9316040479236,0.0,0.0,True,3.924989643957855,3.924989643957855,0.0,0.0,True,202.4313969270723,202.4313969270723,0.0,0.0,True,0.2434728598051711,0.24347285980517117,5.551115123125783e-17,2.27997285922046e-16,True,4.825996586984161,4.825996586984161,0.0,0.0,True,7.912540951107066,7.912540951107066,0.0,0.0,True,True
Record Goods Receipt -> Record Invoice Receipt,True,57690.0,57690.0,0.0,0.0,True,0.0874320086931877,0.08743200869318776,6.938893903907228e-17,7.936331336338011e-16,True,476.8193057722309,476.8193057722309,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,153.99422161399926,153.99422161399926,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,41.689269687357445,41.689269687357445,0.0,0.0,True,188.8531387772856,188.85313877728558,2.842170943040401e-14,1.504963571927799e-16,True,188.8531387772856,188.85313877728558,2.842170943040401e-14,1.504963571927799e-16,True,True
Record Goods Receipt -> Record Service Entry Sheet,True,10439.0,10439.0,0.0,0.0,True,0.015820813637514,0.015820813637514076,7.632783294297951e-17,4.8245200715842115e-15,True,0.9206948302838716,0.9206948302838716,0.0,0.0,True,18.234814956732748,18.234814956732748,0.0,0.0,True,18.16265925854965,18.162659258549652,3.552713678800501e-15,1.956053696888105e-16,True,0.6219860478563194,0.6219860478563194,0.0,0.0,True,30.60238021567697,30.602380215676966,3.552713678800501e-15,1.1609272395682866e-16,True,0.0145661413269437,0.014566141326943782,8.153200337090993e-17,5.597364569029426e-15,True,0.2884896091450231,0.2884896091450231,0.0,0.0,True,0.4841545542565731,0.4841545542565731,0.0,0.0,True,True
Record Goods Receipt -> Remove Payment Block,True,9585.0,9585.0,0.0,0.0,True,0.0145265349856856,0.014526534985685641,4.163336342344337e-17,2.866021626249395e-15,True,62.88535037384802,62.88535037384802,0.0,0.0,True,910.9240653799334,910.9240653799334,0.0,0.0,True,912.2879499217522,912.2879499217522,0.0,0.0,True,37.51854220587054,37.51854220587054,0.0,0.0,True,1662.6587940391505,1662.6587940391505,0.0,0.0,True,0.9135062422928028,0.9135062422928029,1.1102230246251565e-16,1.2153425704444185e-16,True,13.232570305044597,13.232570305044597,0.0,0.0,True,24.15267114086761,24.152671140867618,7.105427357601002e-15,2.9418805548087966e-16,True,True
Record Goods Receipt -> Vendor creates invoice,True,39606.0,39606.0,0.0,0.0,True,0.0600248246888957,0.06002482468889572,2.0816681711721685e-17,3.468012079937431e-16,True,78.41596138632192,78.41596138632192,0.0,0.0,True,579.553551650423,579.553551650423,0.0,0.0,True,578.133010149977,578.133010149977,0.0,0.0,True,33.152149910746864,33.152149910746864,0.0,0.0,True,1241.1760083649183,1241.1760083649183,0.0,0.0,True,4.70690433502519,4.70690433502519,0.0,0.0,True,34.78760033564351,34.78760033564351,0.0,0.0,True,74.5013723101676,74.5013723101676,0.0,0.0,True,True
Record Invoice Receipt -> Cancel Invoice Receipt,True,1231.0,1231.0,0.0,0.0,True,0.001865640539111,0.0018656405391110093,9.324138683375338e-18,4.9978216531564014e-15,True,936.7593826157596,936.7593826157596,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,537.7453796416395,537.7453796416395,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,1.747656279600562,1.747656279600562,0.0,0.0,True,4.02978356447978,4.02978356447978,0.0,0.0,True,4.02978356447978,4.02978356447978,0.0,0.0,True,True
Record Invoice Receipt -> Change Price,True,1163.0,1163.0,0.0,0.0,True,0.0017625832225719,0.0017625832225719772,7.719519468096792e-17,4.3796624007533315e-14,True,351.08178561192324,351.08178561192324,0.0,0.0,True,2067.338506735454,2067.338506735454,0.0,0.0,True,2067.6113499570074,2067.6113499570074,0.0,0.0,True,219.475689852838,219.475689852838,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,0.6188108650701877,0.6188108650701877,0.0,0.0,True,3.643856167348916,3.6438561673489156,4.440892098500626e-16,1.2187341910730776e-16,True,3.807179760755471,3.8071797607554707,4.440892098500626e-16,1.16645190864836e-16,True,True
Record Invoice Receipt -> Clear Invoice,True,66874.0,66874.0,0.0,0.0,True,0.1013508086210476,0.10135080862104764,4.163336342344337e-17,4.1078471883841817e-16,True,1156.6791406226637,1156.6791406226635,2.2737367544323206e-13,1.9657454470980798e-16,True,2160.0,2160.0,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,154.38632903592372,154.38632903592372,0.0,0.0,True,2160.0,2160.0,0.0,0.0,True,117.2303662172054,117.23036621720541,1.4210854715202004e-14,1.212216183720864e-16,True,218.91774662146287,218.91774662146292,5.684341886080802e-14,2.5965651363613587e-16,True,218.91774662146287,218.91774662146292,5.684341886080802e-14,2.5965651363613587e-16,True,True
