transition,observations,m_cap,delta_mass_to_cap,empirical_cvar95,epsilon_primary,epsilon_sat,saturation_ratio,empirical_saturation,dro_induced_saturation,predicted_saturated,observed_saturated,total_saturated_under_primary_radius,unsaturated,observed_phase3_dro_cvar,tail_score,mean_burden_score,dro_score,phase3b_observed_saturated,phase3b_predicted_saturated,phase3b_total_saturated
Create Purchase Order Item -> Change Approval for Purchase Order,1447,0.0,0.050000000000000044,329.0836212854179,39.71076252252803,91.54581893572919,0.4337801877156993,False,False,False,False,False,True,1123.298871735978,0.723078145230997,0.061990390410415666,2.4633933855419072,False,False,False
Create Purchase Order Item -> Change Price,3326,0.005111244738424534,0.044888755261575514,1361.4191220685507,147.64950902032788,39.92904389657254,3.6977972576248423,False,True,True,True,True,False,2160.0,6.868191763396566,0.9128599365187137,10.887944870397847,True,True,True
Create Purchase Order Item -> Change Quantity,6068,0.008404746209624258,0.041595253790375784,1668.9413315754775,86.35319524849585,24.552933421226133,3.5170215210962565,False,True,True,True,True,False,2160.0,15.334979825519916,2.886414696579558,19.86411589704574,True,True,True
Create Purchase Order Item -> Delete Purchase Order Item,3916,0.018130745658835545,0.0318692543411645,1623.7875383043915,91.01370306195554,26.810623084780424,3.3946880971080917,False,True,True,True,True,False,2160.0,9.638897165469125,1.0439513690709838,12.819360226241121,True,True,True
Create Purchase Order Item -> Receive Order Confirmation,14575,0.0,0.050000000000000044,216.9715265866208,11.139614503556183,97.15142367066909,0.11466239075731975,False,False,False,False,False,True,439.76381665774386,4.7870595878414575,0.3265635285208598,9.713997195911379,False,False,False
Create Purchase Order Item -> Record Goods Receipt,40773,0.003973217570451034,0.04602678242954901,1426.0919726289453,35.68772959829524,36.695401368552766,0.9725395626515458,False,False,False,False,False,True,2139.846564594843,88.06600022935302,22.48671242613594,132.22854472191278,False,False,False
Create Purchase Order Item -> Record Invoice Receipt,532,0.0018796992481203006,0.048120300751879744,1164.992481203007,188.8969730639366,49.75037593984969,3.796895390143806,False,True,True,True,True,False,2160.0,0.9383163566611648,0.17100065623261854,1.7415474056078335,True,True,True
Create Purchase Order Item -> Record Service Entry Sheet,1055,0.0018957345971563982,0.04810426540284365,242.50236966824622,15.31041294218804,95.87488151658773,0.1596915970064497,False,False,False,False,False,True,548.7106285120019,0.3896570616237284,0.01948303620999646,0.8773355941484087,False,False,False
Create Purchase Order Item -> Vendor creates debit memo,780,0.002564102564102564,0.04743589743589748,1292.307692307692,128.8322012820513,43.38461538461542,2.96953655437352,False,True,True,True,True,False,2160.0,1.5283167658593322,0.32878651020141136,2.5533965721317857,True,True,True
Create Purchase Order Item -> Vendor creates invoice,59977,0.012471447388165463,0.03752855261183458,1605.9284058889236,56.64266633175524,27.703579705553857,2.0445973745551673,False,True,True,True,True,False,2160.0,146.16825430504252,27.639890658207882,196.3398284701899,True,True,True
Create Purchase Requisition Item -> Create Purchase Order Item,1095,0.0045662100456621,0.045433789954337944,509.91780821917763,52.01022786656521,82.5041095890412,0.6303956024206773,False,False,False,False,False,True,1550.1223655504396,0.8505666384269406,0.06911536407775574,2.5724682231520255,False,False,False
Receive Order Confirmation -> Delete Purchase Order Item,580,0.0034482758620689655,0.04655172413793108,1403.5862068965512,187.09166037219487,37.82068965517245,4.946807212612733,False,True,True,True,True,False,2160.0,1.2353465378046053,0.21433181222754857,1.898679502354405,True,True,True
Receive Order Confirmation -> Record Goods Receipt,9488,0.0006323777403035413,0.0493676222596965,821.7875210792577,39.559648078649,66.91062394603712,0.5912311938766784,False,False,False,False,False,True,1612.980482652237,11.817062452228637,2.293701985520447,23.1938960051717,False,False,False
Receive Order Confirmation -> Vendor creates invoice,4539,0.0,0.050000000000000044,713.3906146728352,52.21935034703996,72.33046926635836,0.7219550885912435,False,False,False,False,False,True,1757.7776216136315,4.9047842338471535,1.1730810247736654,12.091885637453867,False,False,False
Record Goods Receipt -> Cancel Goods Receipt,532,0.005639097744360902,0.04436090225563914,1093.353383458646,61.9206287450653,53.33233082706775,1.161033612910065,False,True,True,True,True,False,2160.0,0.8820316032333723,0.062087739159911115,1.7415474056078335,True,False,False
Record Goods Receipt -> Change Quantity,715,0.006993006993006993,0.04300699300699305,1024.2797202797196,50.423635780885775,56.78601398601404,0.8879587109830377,False,False,False,False,False,True,2032.75243589744,1.1087939212349094,0.12573171957700024,2.202725853392889,False,False,False
Record Goods Receipt -> Record Goods Receipt,25791,0.0,0.050000000000000044,123.9316040479236,3.924989643957855,101.80341979760395,0.0385545952362028,False,False,False,False,False,True,202.4313969270723,4.825996586984161,0.24347285980517117,7.912540951107066,False,False,False
Record Goods Receipt -> Record Invoice Receipt,57690,0.05222742243023054,0.0,2160.0,153.99422161399926,0.0,,True,False,True,True,True,False,2160.0,188.85313877728558,41.689269687357445,188.85313877728558,True,True,True
Record Goods Receipt -> Record Service Entry Sheet,10439,0.0,0.050000000000000044,18.162659258549652,0.6219860478563194,107.0918670370726,0.005807967169355661,False,False,False,False,False,True,30.602380215676966,0.2884896091450231,0.014566141326943782,0.4841545542565731,False,False,False
Record Goods Receipt -> Remove Payment Block,9585,0.004694835680751174,0.04530516431924887,912.2879499217522,37.51854220587054,62.38560250391247,0.6013974490912,False,False,False,False,False,True,1662.6587940391505,13.232570305044597,0.9135062422928029,24.152671140867618,False,False,False
Record Goods Receipt -> Vendor creates invoice,39606,0.0008332070898348735,0.04916679291016517,578.133010149977,33.152149910746864,79.09334949250133,0.41915218060008885,False,False,False,False,False,True,1241.1760083649183,34.78760033564351,4.70690433502519,74.5013723101676,False,False,False
Record Invoice Receipt -> Cancel Invoice Receipt,1231,0.20308692120227456,0.0,2160.0,537.7453796416395,0.0,,True,False,True,True,True,False,2160.0,4.02978356447978,1.747656279600562,4.02978356447978,True,True,True
Record Invoice Receipt -> Change Price,1163,0.034393809114359415,0.01560619088564063,2067.6113499570074,219.475689852838,4.619432502149633,47.51139663815976,False,True,True,True,True,False,2160.0,3.6438561673489156,0.6188108650701877,3.8071797607554707,True,True,True
Record Invoice Receipt -> Clear Invoice,66874,0.14373299039985646,0.0,2160.0,154.38632903592372,0.0,,True,False,True,True,True,False,2160.0,218.91774662146292,117.23036621720541,218.91774662146292,True,True,True
Record Invoice Receipt -> Record Goods Receipt,10037,0.0005977881837202351,0.04940221181627981,411.17305967918685,22.738039683082924,87.44134701604078,0.26003761903292405,False,False,False,False,False,True,865.9338533408426,6.2464598801402955,0.9529972502893435,13.17220739069792,False,False,False
Record Invoice Receipt -> Record Invoice Receipt,2196,0.006830601092896175,0.04316939890710387,1158.338797814207,65.08857712380374,50.08306010928965,1.299612623145821,False,True,True,True,True,False,2160.0,3.853667097587699,0.3375227142872298,7.188793426155644,True,False,False
Record Invoice Receipt -> Remove Payment Block,13764,0.04322871258355129,0.006771287416448751,2145.353095030514,504.7194124151218,0.7323452484742915,689.1823405239717,False,True,True,True,True,False,2160.0,44.758377675764514,8.58570332324483,45.057628742079366,True,True,True
Record Invoice Receipt -> Vendor creates invoice,1756,0.0011389521640091116,0.048861047835990934,924.4100227790428,84.08055326374463,61.77949886104795,1.3609782341040892,False,True,True,True,True,False,2160.0,2.4687506472656207,0.2893979785610471,5.748415872645406,True,True,True
Record Service Entry Sheet -> Record Goods Receipt,8961,0.00011159468809284678,0.0498884053119072,53.61901573485097,3.2958454841271414,105.31904921325756,0.0312939160460277,False,False,False,False,False,True,119.53592541738527,0.7382225189329923,0.037040795036678814,1.623397386989604,False,False,False
Record Service Entry Sheet -> Record Invoice Receipt,715,0.057342657342657345,0.0,2160.0,135.57973474001142,0.0,,True,False,True,True,True,False,2160.0,2.3406135244541373,0.2918229576338444,2.3406135244541373,True,True,True
Record Service Entry Sheet -> Record Service Entry Sheet,75913,1.317297432587304e-05,0.04998682702567417,0.9294850684336009,0.0572968008202939,107.95352574657838,0.0005307543262162509,False,False,False,False,False,True,2.0754210848363477,0.10800406773290565,0.005400203386645287,0.23877689275095088,False,False,False
Record Service Entry Sheet -> Vendor creates invoice,1515,0.0013201320132013201,0.04867986798679873,978.5346534653463,186.8638376057611,59.07326732673279,3.1632554971476656,False,True,True,True,True,False,2160.0,2.250827615925588,0.5604636770951578,4.959481803563662,True,True,True
Release Purchase Order -> Change Approval for Purchase Order,858,0.0,0.050000000000000044,431.5524475524475,72.7471794871795,86.4223776223777,0.8417632271707226,False,False,False,False,False,True,1886.4960372959747,0.5636090975361723,0.08593196903632822,2.4530878548467197,False,False,False
Remove Payment Block -> Clear Invoice,22126,0.1792913314652445,0.0,2160.0,228.2619917382968,0.0,,True,False,True,True,True,False,2160.0,72.43134942947167,36.8601308625847,72.43134942947167,True,True,True
SRM: Awaiting Approval -> SRM: Document Completed,861,0.0,0.050000000000000044,0.0,0.0,108.0000000000001,0.0,False,False,False,False,False,True,0.0,0.0,0.0,0.0,False,False,False
SRM: Complete -> SRM: Awaiting Approval,861,0.0,0.050000000000000044,0.0,0.0,108.0000000000001,0.0,False,False,False,False,False,True,0.0,0.0,0.0,0.0,False,False,False
SRM: Created -> SRM: Complete,847,0.0,0.050000000000000044,0.0,0.5246905372119781,108.0000000000001,0.004858245714925719,False,False,False,False,False,True,10.49381074424992,0.002595301495695083,0.0019018621547769335,0.013470588048654695,False,False,False
SRM: Document Completed -> SRM: In Transfer to Execution Syst.,564,0.0,0.050000000000000044,1.7021276595744665,0.5605501059224455,107.91489361702138,0.005194372038319186,False,False,False,False,False,True,12.913129778023336,0.002700808949416536,0.0001355658377120063,0.011037749584065462,False,False,False
SRM: In Transfer to Execution Syst. -> SRM: Ordered,562,0.0,0.050000000000000044,0.0,2.9655990510083866e-05,108.0000000000001,2.7459250472299853e-07,False,False,False,False,False,True,0.0011625148226812587,5.051829242109416e-07,2.5259146210547107e-08,9.90158526927312e-07,False,False,False
Vendor creates debit memo -> Record Goods Receipt,761,0.0,0.050000000000000044,534.5597897503283,45.24399081937967,81.27201051248369,0.5566983089760037,False,False,False,False,False,True,1439.4396061379216,0.6174078963122149,0.10308378812426086,1.66015264648303,False,False,False
Vendor creates debit memo -> Record Invoice Receipt,738,0.017615176151761516,0.03238482384823853,1907.772357723577,218.92541708377763,12.611382113821161,17.359351664069493,False,True,True,True,True,False,2160.0,2.129882075150001,0.4765378147100174,2.415905987478536,True,True,True
Vendor creates debit memo -> Vendor creates invoice,1244,0.0,0.050000000000000044,193.3890675241156,15.46607717041803,98.33054662379433,0.15728659812692936,False,False,False,False,False,True,502.71061093246817,0.3644531066476513,0.019051963620767262,0.9477817670389214,False,False,False
Vendor creates invoice -> Change Quantity,1401,0.0,0.050000000000000044,909.9100642398282,53.8888128160125,62.50449678800862,0.862158973918033,False,False,False,False,False,True,1987.6863205600866,1.9239489795557518,0.2285340197758908,4.220422224468962,False,False,False
Vendor creates invoice -> Clear Invoice,800,0.20625,0.0,2160.0,740.3163628640776,0.0,,True,False,True,True,True,False,2160.0,2.6188682791095217,1.1060786640538607,2.618868279109524,True,True,True
Vendor creates invoice -> Create Purchase Order Item,1956,0.07004089979550102,0.0,2160.0,445.86538180835663,0.0,,True,False,True,True,True,False,2160.0,6.403132942422786,1.6332390409405295,6.403132942422786,True,True,True
Vendor creates invoice -> Record Goods Receipt,56714,0.00022922029833903444,0.04977077970166101,307.39415311915917,10.121951103156832,92.63029234404209,0.10927258078342736,False,False,False,False,False,True,509.8331751823232,26.32835202762743,5.047554586277918,43.82160581075082,False,False,False
Vendor creates invoice -> Record Invoice Receipt,49229,0.012512949684129273,0.03748705031587077,1827.5242641532425,131.40332856009834,16.623786792337878,7.904536445370189,False,True,True,True,True,False,2160.0,136.3718224372954,21.1203222460837,161.15533314035346,True,True,True
Vendor creates invoice -> Vendor creates debit memo,1700,0.000588235294117647,0.0494117647058824,184.65882352941162,14.19302062643234,98.76705882352951,0.14370196698670046,False,False,False,False,False,True,468.51923605805086,0.47563982680308586,0.023781991340154313,1.2071083803765024,False,False,False
Vendor creates invoice -> Vendor creates invoice,839,0.003575685339690107,0.04642431466030994,1015.1799761620975,68.23408453286882,57.241001191895194,1.1920491101146244,False,True,True,True,True,False,2160.0,1.2905746506281188,0.25827072853945043,2.746538107716113,True,True,True
