transition,phase3_h1_observations,bridge_rows,candidate_h1_only,bridge_percentage_of_phase3_h1_sample,bridge_elapsed_median_hours,bridge_elapsed_q75_hours,bridge_elapsed_q90_hours,bridge_elapsed_max_hours,bridge_destination_min_utc,bridge_destination_max_utc
Cancel Goods Receipt -> Record Invoice Receipt,52,6,False,0.0009093292635796959,876.2416666666667,964.8666666666667,1178.175,1365.2166666666667,2018-07-04 10:48:00+00:00,2018-07-27 12:38:00+00:00
Cancel Goods Receipt -> Record Service Entry Sheet,33,0,False,0.0,,,,,,
Cancel Goods Receipt -> Release Purchase Order,2,0,False,0.0,,,,,,
Cancel Goods Receipt -> Remove Payment Block,10,0,False,0.0,,,,,,
Cancel Goods Receipt -> SRM: Complete,2,0,False,0.0,,,,,,
Cancel Goods Receipt -> Vendor creates debit memo,394,35,False,0.005304420704214893,1038.15,1038.15,1038.15,1040.1166666666666,2018-07-05 21:59:00+00:00,2018-07-10 21:59:00+00:00
Cancel Goods Receipt -> Vendor creates invoice,68,1,False,0.00015155487726328264,136.81666666666666,136.81666666666666,136.81666666666666,136.81666666666666,2018-07-02 21:59:00+00:00,2018-07-02 21:59:00+00:00
Cancel Invoice Receipt -> Cancel Goods Receipt,4,0,False,0.0,,,,,,
Cancel Invoice Receipt -> Cancel Invoice Receipt,18,2,False,0.0003031097545265653,1929.6999999999998,2332.6833333333334,2574.4733333333334,2735.6666666666665,2018-07-10 10:47:00+00:00,2018-10-11 10:15:00+00:00
Cancel Invoice Receipt -> Cancel Subsequent Invoice,2,0,False,0.0,,,,,,
Cancel Invoice Receipt -> Change Delivery Indicator,9,0,False,0.0,,,,,,
Cancel Invoice Receipt -> Change Price,4,0,False,0.0,,,,,,
Cancel Invoice Receipt -> Clear Invoice,1073,51,True,0.0077292987404274155,676.0833333333334,1443.1999999999998,2067.85,3891.633333333333,2018-07-05 08:48:00+00:00,2018-11-08 15:44:00+00:00
Cancel Invoice Receipt -> Delete Purchase Order Item,2,0,False,0.0,,,,,,
Cancel Invoice Receipt -> Record Goods Receipt,4,0,False,0.0,,,,,,
Cancel Invoice Receipt -> Record Invoice Receipt,177,9,False,0.001363993895369544,2513.1,2513.1,2513.1,2513.1,2018-07-26 08:06:00+00:00,2018-08-20 12:39:00+00:00
Cancel Invoice Receipt -> Record Subsequent Invoice,2,0,False,0.0,,,,,,
Cancel Invoice Receipt -> Remove Payment Block,193,3,False,0.00045466463178984795,1556.5,1556.5,1556.5,1556.5,2018-08-22 11:24:00+00:00,2018-08-22 11:24:00+00:00
Cancel Invoice Receipt -> Vendor creates debit memo,10,0,False,0.0,,,,,,
Cancel Invoice Receipt -> Vendor creates invoice,6,2,False,0.0003031097545265653,959.5333333333333,1122.125,1219.68,1284.7166666666667,2018-07-18 21:59:00+00:00,2018-07-31 21:59:00+00:00
Cancel Subsequent Invoice -> Cancel Invoice Receipt,1,0,False,0.0,,,,,,
Cancel Subsequent Invoice -> Cancel Subsequent Invoice,1,0,False,0.0,,,,,,
Cancel Subsequent Invoice -> Clear Invoice,82,10,False,0.0015155487726328264,1513.5666666666666,1784.5041666666666,1874.8049999999998,1874.85,2018-07-05 12:10:00+00:00,2018-08-30 13:39:00+00:00
Cancel Subsequent Invoice -> Record Goods Receipt,1,0,False,0.0,,,,,,
Cancel Subsequent Invoice -> Record Invoice Receipt,1,1,False,0.00015155487726328264,1153.4,1153.4,1153.4,1153.4,2018-07-30 14:28:00+00:00,2018-07-30 14:28:00+00:00
Cancel Subsequent Invoice -> Record Subsequent Invoice,2,1,False,0.00015155487726328264,1614.15,1614.15,1614.15,1614.15,2018-08-29 10:17:00+00:00,2018-08-29 10:17:00+00:00
Cancel Subsequent Invoice -> Remove Payment Block,61,0,False,0.0,,,,,,
Cancel Subsequent Invoice -> Vendor creates debit memo,5,0,False,0.0,,,,,,
Cancel Subsequent Invoice -> Vendor creates invoice,1,0,False,0.0,,,,,,
Change Approval for Purchase Order -> Block Purchase Order Item,107,107,False,0.016216371867171245,4048.483333333333,4048.516666666667,4048.516666666667,4048.516666666667,2018-08-14 08:10:00+00:00,2018-09-13 12:09:00+00:00
Change Approval for Purchase Order -> Cancel Goods Receipt,3,0,False,0.0,,,,,,
Change Approval for Purchase Order -> Cancel Invoice Receipt,2,1,False,0.00015155487726328264,4347.45,4347.45,4347.45,4347.45,2018-12-20 13:28:00+00:00,2018-12-20 13:28:00+00:00
Change Approval for Purchase Order -> Change Approval for Purchase Order,606,91,True,0.01379149383095872,606.65,1125.0,2394.3166666666666,2665.616666666667,2018-07-02 09:40:00+00:00,2018-09-19 10:54:00+00:00
Change Approval for Purchase Order -> Change Price,281,66,False,0.010002621899376654,1539.1333333333334,2566.516666666667,2566.6083333333336,2940.9166666666665,2018-07-18 08:34:00+00:00,2018-08-01 11:10:00+00:00
Change Approval for Purchase Order -> Change Quantity,222,19,False,0.00287954266800237,3050.5,4886.658333333333,5571.336666666666,5789.366666666667,2018-07-02 09:30:00+00:00,2018-11-15 15:39:00+00:00
Change Approval for Purchase Order -> Change Storage Location,9,0,False,0.0,,,,,,
Change Approval for Purchase Order -> Clear Invoice,100,17,False,0.002576432913475805,822.0833333333334,822.0833333333334,822.0833333333334,822.0833333333334,2018-07-26 16:06:00+00:00,2018-07-26 16:06:00+00:00
Change Approval for Purchase Order -> Create Purchase Order Item,91,4,False,0.0006062195090531306,1081.1,1333.25,1787.12,2089.7,2018-07-05 08:23:00+00:00,2018-09-17 11:43:00+00:00
Change Approval for Purchase Order -> Delete Purchase Order Item,48,11,False,0.0016671036498961092,5811.45,5811.55,5811.6,5811.6,2018-08-14 10:23:00+00:00,2018-11-16 13:53:00+00:00
Change Approval for Purchase Order -> Receive Order Confirmation,355,0,False,0.0,,,,,,
Change Approval for Purchase Order -> Record Goods Receipt,92,2,False,0.0003031097545265653,353.78333333333336,364.78333333333336,371.3833333333334,375.78333333333336,2018-07-09 16:15:00+00:00,2018-07-11 12:15:00+00:00
Change Approval for Purchase Order -> Record Invoice Receipt,322,9,False,0.001363993895369544,1703.7666666666667,3188.8166666666666,3431.6566666666668,3507.2166666666667,2018-07-05 10:50:00+00:00,2018-08-15 07:30:00+00:00
Change Approval for Purchase Order -> Release Purchase Order,587,106,False,0.01606481698990796,2874.3,2874.3,2874.3,2874.3,2018-07-19 09:13:00+00:00,2018-07-19 09:13:00+00:00
Change Approval for Purchase Order -> Remove Payment Block,3,0,False,0.0,,,,,,
Change Approval for Purchase Order -> Vendor creates debit memo,4,0,False,0.0,,,,,,
Change Approval for Purchase Order -> Vendor creates invoice,454,132,False,0.02000524379875331,4134.083333333333,4134.083333333333,4134.083333333333,7571.383333333333,2018-07-02 21:59:00+00:00,2018-11-15 22:59:00+00:00
Change Currency -> Change Price,2,0,False,0.0,,,,,,
Change Currency -> Change Quantity,1,0,False,0.0,,,,,,
Change Currency -> Change payment term,2,0,False,0.0,,,,,,
Change Currency -> Create Purchase Order Item,2,0,False,0.0,,,,,,
Change Currency -> Delete Purchase Order Item,1,0,False,0.0,,,,,,
Change Currency -> Vendor creates invoice,1,0,False,0.0,,,,,,
Change Delivery Indicator -> Cancel Goods Receipt,5,0,False,0.0,,,,,,
Change Delivery Indicator -> Cancel Invoice Receipt,16,5,False,0.0007577743863164132,3925.55,4176.666666666667,4483.6466666666665,4688.3,2018-07-16 11:29:00+00:00,2018-12-06 01:37:00+00:00
Change Delivery Indicator -> Cancel Subsequent Invoice,1,0,False,0.0,,,,,,
Change Delivery Indicator -> Change Delivery Indicator,81,3,False,0.00045466463178984795,1157.7833333333333,1167.8,1173.81,1177.8166666666666,2018-07-09 13:29:00+00:00,2018-08-06 15:00:00+00:00
Change Delivery Indicator -> Change Final Invoice Indicator,3,0,False,0.0,,,,,,
Change Delivery Indicator -> Change Price,7,0,False,0.0,,,,,,
Change Delivery Indicator -> Change Quantity,65,1,False,0.00015155487726328264,2613.1833333333334,2613.1833333333334,2613.1833333333334,2613.1833333333334,2018-09-28 09:22:00+00:00,2018-09-28 09:22:00+00:00
Change Delivery Indicator -> Change Storage Location,1,0,False,0.0,,,,,,
Change Delivery Indicator -> Clear Invoice,141,42,False,0.006365304845057871,1656.775,1917.5083333333334,2380.708333333333,3909.65,2018-07-05 12:10:00+00:00,2018-12-06 12:01:00+00:00
Change Delivery Indicator -> Delete Purchase Order Item,10,0,False,0.0,,,,,,
Change Delivery Indicator -> Reactivate Purchase Order Item,1,0,False,0.0,,,,,,
Change Delivery Indicator -> Record Goods Receipt,332,1,False,0.00015155487726328264,1341.55,1341.55,1341.55,1341.55,2018-08-22 10:41:00+00:00,2018-08-22 10:41:00+00:00
Change Delivery Indicator -> Record Invoice Receipt,323,64,False,0.009699512144850089,1106.3416666666667,1812.7958333333333,4217.653333333334,4834.466666666666,2018-07-04 07:26:00+00:00,2018-12-12 01:36:00+00:00
Change Delivery Indicator -> Release Purchase Order,1,0,False,0.0,,,,,,
Change Delivery Indicator -> Remove Payment Block,53,8,False,0.0012124390181062611,1093.375,2505.7833333333333,3078.2733333333335,3194.8,2018-07-04 07:54:00+00:00,2018-10-15 15:45:00+00:00
Change Delivery Indicator -> Vendor creates debit memo,66,3,False,0.00045466463178984795,1548.3666666666666,2666.25,3336.9799999999996,3784.133333333333,2018-07-11 21:59:00+00:00,2018-11-05 22:59:00+00:00
Change Delivery Indicator -> Vendor creates invoice,116,3,False,0.00045466463178984795,1931.95,2124.2333333333336,2239.6033333333335,2316.516666666667,2018-07-02 21:59:00+00:00,2018-09-24 21:59:00+00:00
Change Final Invoice Indicator -> Clear Invoice,4,0,False,0.0,,,,,,
Change Final Invoice Indicator -> SRM: In Transfer to Execution Syst.,1,1,False,0.00015155487726328264,407.3666666666667,407.3666666666667,407.3666666666667,407.3666666666667,2018-07-06 12:10:00+00:00,2018-07-06 12:10:00+00:00
Change Price -> Block Purchase Order Item,2,0,False,0.0,,,,,,
Change Price -> Cancel Goods Receipt,12,0,False,0.0,,,,,,
Change Price -> Cancel Invoice Receipt,13,3,False,0.00045466463178984795,2613.116666666667,4367.241666666667,5419.716666666667,6121.366666666667,2018-07-04 08:02:00+00:00,2018-12-20 13:28:00+00:00
Change Price -> Cancel Subsequent Invoice,3,0,False,0.0,,,,,,
Change Price -> Change Approval for Purchase Order,45,0,False,0.0,,,,,,
Change Price -> Change Currency,4,0,False,0.0,,,,,,
Change Price -> Change Delivery Indicator,4,0,False,0.0,,,,,,
Change Price -> Change Price,419,21,False,0.0031826524225289357,986.6,3089.0333333333333,3089.0333333333333,3089.0333333333333,2018-07-02 06:05:00+00:00,2018-07-19 09:10:00+00:00
Change Price -> Change Quantity,596,48,True,0.007274634108637567,765.775,908.0708333333334,958.3716666666667,2045.7333333333333,2018-07-02 12:58:00+00:00,2018-07-30 13:02:00+00:00
Change Price -> Change Storage Location,9,0,False,0.0,,,,,,
Change Price -> Clear Invoice,172,6,False,0.0009093292635796959,1927.6750000000002,2156.195833333333,2363.3916666666664,2494.4166666666665,2018-07-05 12:10:00+00:00,2018-07-26 16:09:00+00:00
Change Price -> Delete Purchase Order Item,38,8,False,0.0012124390181062611,1402.4416666666666,1903.725,2562.305,3885.4333333333334,2018-07-02 12:57:00+00:00,2018-10-25 08:06:00+00:00
Change Price -> Receive Order Confirmation,18,0,False,0.0,,,,,,
Change Price -> Record Goods Receipt,1271,76,True,0.01151817067200948,458.6666666666667,839.2958333333333,1617.0583333333334,2704.483333333333,2018-07-02 08:03:00+00:00,2018-08-27 12:14:00+00:00
Change Price -> Record Invoice Receipt,360,98,False,0.0148523779718017,705.825,1035.1333333333334,1202.8933333333332,5091.233333333334,2018-07-02 16:03:00+00:00,2018-12-20 13:25:00+00:00
Change Price -> Record Service Entry Sheet,1,0,False,0.0,,,,,,
Change Price -> Record Subsequent Invoice,3,2,False,0.0003031097545265653,148.39999999999998,183.94166666666666,205.26666666666665,219.48333333333332,2018-07-02 15:14:00+00:00,2018-07-05 09:28:00+00:00
Change Price -> Release Purchase Order,21,0,False,0.0,,,,,,
Change Price -> Remove Payment Block,1001,7,True,0.0010608841408429786,315.0,999.0583333333334,1153.44,1153.45,2018-07-11 12:17:00+00:00,2018-07-19 15:40:00+00:00
Change Price -> SRM: Complete,1,0,False,0.0,,,,,,
Change Price -> SRM: In Transfer to Execution Syst.,1,0,False,0.0,,,,,,
Change Price -> Vendor creates debit memo,33,0,False,0.0,,,,,,
Change Price -> Vendor creates invoice,2108,78,True,0.011821280426536046,541.9833333333333,869.5875,1270.251666666666,5240.016666666666,2018-07-02 21:59:00+00:00,2018-10-30 22:59:00+00:00
Change Quantity -> Block Purchase Order Item,4,0,False,0.0,,,,,,
Change Quantity -> Cancel Goods Receipt,14,0,False,0.0,,,,,,
Change Quantity -> Cancel Invoice Receipt,8,6,False,0.0009093292635796959,4114.35,4307.2,5836.733333333334,7366.266666666666,2018-07-27 00:20:00+00:00,2018-12-20 13:20:00+00:00
Change Quantity -> Change Approval for Purchase Order,76,0,False,0.0,,,,,,
Change Quantity -> Change Delivery Indicator,511,5,True,0.0007577743863164132,1481.2,3816.2,5664.42,6896.566666666667,2018-07-18 07:39:00+00:00,2019-01-15 19:48:00+00:00
Change Quantity -> Change Price,280,5,False,0.0007577743863164132,2542.55,2900.116666666667,2900.116666666667,2900.116666666667,2018-07-12 10:39:00+00:00,2018-10-09 06:43:00+00:00
Change Quantity -> Change Quantity,1181,34,True,0.00515286582695161,572.0,1007.4166666666667,1681.778333333333,1916.5666666666666,2018-07-02 08:33:00+00:00,2018-08-08 07:55:00+00:00
Change Quantity -> Change Storage Location,9,0,False,0.0,,,,,,
Change Quantity -> Clear Invoice,77,32,False,0.0048497560724250445,2014.8833333333334,2192.7208333333333,2526.3300000000004,2716.7833333333333,2018-07-05 12:10:00+00:00,2018-09-06 12:08:00+00:00
Change Quantity -> Delete Purchase Order Item,111,5,False,0.0007577743863164132,340.73333333333335,381.8333333333333,455.0333333333333,503.8333333333333,2018-07-02 09:38:00+00:00,2018-07-04 08:56:00+00:00
Change Quantity -> Reactivate Purchase Order Item,3,0,False,0.0,,,,,,
Change Quantity -> Receive Order Confirmation,105,2,False,0.0003031097545265653,481.8333333333333,481.8333333333333,481.8333333333333,481.8333333333333,2018-07-12 16:29:00+00:00,2018-07-12 16:29:00+00:00
Change Quantity -> Record Goods Receipt,4299,137,True,0.02076301818506972,666.85,940.7,1490.1300000000006,3014.266666666667,2018-07-02 05:56:00+00:00,2018-10-18 10:34:00+00:00
Change Quantity -> Record Invoice Receipt,338,51,False,0.0077292987404274155,857.7666666666667,1559.225,2907.45,6933.166666666667,2018-07-02 15:01:00+00:00,2018-12-20 13:16:00+00:00
Change Quantity -> Release Purchase Order,14,0,False,0.0,,,,,,
Change Quantity -> Remove Payment Block,52,3,False,0.00045466463178984795,3022.983333333333,3446.3166666666666,3700.3166666666666,3869.65,2018-08-13 15:51:00+00:00,2018-10-15 13:46:00+00:00
Change Quantity -> Update Order Confirmation,9,0,False,0.0,,,,,,
Change Quantity -> Vendor creates debit memo,57,5,False,0.0007577743863164132,1020.4,1020.4,1020.4,1020.4,2018-07-03 21:59:00+00:00,2018-07-05 21:59:00+00:00
Change Quantity -> Vendor creates invoice,3150,224,True,0.033948292506975314,730.0916666666667,1270.3416666666667,3012.6666666666665,3944.9333333333334,2018-07-02 21:59:00+00:00,2018-10-09 21:59:00+00:00
Change Rejection Indicator -> Change Rejection Indicator,1,0,False,0.0,,,,,,
Change Rejection Indicator -> Reactivate Purchase Order Item,1,0,False,0.0,,,,,,
Change Storage Location -> Block Purchase Order Item,1,1,False,0.00015155487726328264,4876.4,4876.4,4876.4,4876.4,2018-11-28 16:10:00+00:00,2018-11-28 16:10:00+00:00
Change Storage Location -> Cancel Goods Receipt,3,0,False,0.0,,,,,,
Change Storage Location -> Change Delivery Indicator,1,0,False,0.0,,,,,,
Change Storage Location -> Change Price,10,0,False,0.0,,,,,,
Change Storage Location -> Change Quantity,11,1,False,0.00015155487726328264,573.6666666666666,573.6666666666666,573.6666666666666,573.6666666666666,2018-07-23 12:46:00+00:00,2018-07-23 12:46:00+00:00
Change Storage Location -> Change Storage Location,21,0,False,0.0,,,,,,
Change Storage Location -> Clear Invoice,6,6,False,0.0009093292635796959,1164.1666666666667,1164.1666666666667,1164.1666666666667,1164.1666666666667,2018-07-12 10:55:00+00:00,2018-07-12 10:55:00+00:00
Change Storage Location -> Delete Purchase Order Item,3,0,False,0.0,,,,,,
Change Storage Location -> Receive Order Confirmation,4,0,False,0.0,,,,,,
Change Storage Location -> Record Goods Receipt,119,1,False,0.00015155487726328264,308.05,308.05,308.05,308.05,2018-07-03 07:32:00+00:00,2018-07-03 07:32:00+00:00
Change Storage Location -> Record Invoice Receipt,4,1,False,0.00015155487726328264,6791.283333333334,6791.283333333334,6791.283333333334,6791.283333333334,2018-12-20 13:21:00+00:00,2018-12-20 13:21:00+00:00
Change Storage Location -> Vendor creates invoice,39,3,False,0.00045466463178984795,945.0333333333333,981.25,1002.98,1017.4666666666667,2018-07-05 21:59:00+00:00,2018-08-06 21:59:00+00:00
Change payment term -> Change Price,1,0,False,0.0,,,,,,
Change payment term -> Record Goods Receipt,1,0,False,0.0,,,,,,
Clear Invoice -> Cancel Goods Receipt,6,3,False,0.00045466463178984795,1966.0666666666666,2325.883333333333,2541.773333333333,2685.7,2018-07-13 09:07:00+00:00,2018-09-27 08:53:00+00:00
Clear Invoice -> Cancel Invoice Receipt,929,790,False,0.1197283530379933,2987.25,4045.9625,5041.733333333334,6888.95,2018-07-02 14:39:00+00:00,2018-12-20 13:46:00+00:00
Clear Invoice -> Cancel Subsequent Invoice,34,17,False,0.002576432913475805,812.65,1105.6333333333334,2449.906666666667,3359.366666666667,2018-07-03 13:00:00+00:00,2018-10-25 10:32:00+00:00
Clear Invoice -> Change Approval for Purchase Order,35,8,False,0.0012124390181062611,1675.3333333333335,2300.0333333333333,2315.088333333333,2350.2166666666667,2018-07-24 08:14:00+00:00,2018-09-19 10:54:00+00:00
Clear Invoice -> Change Delivery Indicator,12,4,False,0.0006062195090531306,1150.2833333333333,2080.4625,3754.7850000000008,4871.0,2018-07-17 10:26:00+00:00,2019-01-17 11:05:00+00:00
Clear Invoice -> Change Price,35,16,False,0.0024248780362125222,2135.9166666666665,4211.045833333334,7318.366666666667,7822.333333333333,2018-07-04 08:50:00+00:00,2019-01-07 12:23:00+00:00
Clear Invoice -> Change Quantity,49,18,False,0.002727987790739088,2162.2333333333336,2953.9958333333334,3508.18,5640.366666666667,2018-07-02 06:55:00+00:00,2019-01-14 11:56:00+00:00
Clear Invoice -> Clear Invoice,954,188,True,0.028492316925497137,676.05,1498.1083333333333,2048.1383333333333,4512.383333333333,2018-07-05 08:55:00+00:00,2018-11-28 11:58:00+00:00
Clear Invoice -> Delete Purchase Order Item,11,3,False,0.00045466463178984795,5040.566666666667,5040.566666666667,5040.566666666667,5040.566666666667,2018-11-09 09:11:00+00:00,2018-11-09 09:11:00+00:00
Clear Invoice -> Record Goods Receipt,242,37,False,0.005607530458741458,789.85,1274.4,3061.7399999999993,3887.016666666667,2018-07-01 15:41:00+00:00,2018-11-16 10:13:00+00:00
Clear Invoice -> Record Invoice Receipt,1562,501,True,0.07592899350890461,3564.266666666667,4370.65,5041.9,7460.583333333333,2018-07-02 14:05:00+00:00,2018-12-20 13:48:00+00:00
Clear Invoice -> Record Service Entry Sheet,26,6,False,0.0009093292635796959,818.075,1261.15,1440.6583333333333,1536.5166666666667,2018-07-04 13:43:00+00:00,2018-07-24 14:02:00+00:00
Clear Invoice -> Record Subsequent Invoice,15,7,False,0.0010608841408429786,1699.8333333333333,2563.875,3580.9366666666674,4673.466666666666,2018-07-09 08:57:00+00:00,2018-09-05 08:46:00+00:00
Clear Invoice -> Remove Payment Block,201,68,False,0.01030573165390322,1489.6166666666666,1994.5,3159.100000000002,5134.416666666667,2018-07-02 09:08:00+00:00,2018-12-18 15:31:00+00:00
Clear Invoice -> SRM: Complete,1,0,False,0.0,,,,,,
Clear Invoice -> SRM: Created,9,5,False,0.0007577743863164132,1462.5666666666666,2800.233333333333,3422.0133333333333,3836.5333333333333,2018-07-02 10:33:00+00:00,2018-09-05 09:43:00+00:00
Clear Invoice -> SRM: In Transfer to Execution Syst.,44,41,False,0.006213749967794589,6070.816666666667,6718.85,7555.2,7871.75,2018-07-06 12:10:00+00:00,2019-01-17 11:04:00+00:00
Clear Invoice -> Vendor creates debit memo,57,25,False,0.0037888719315820663,2890.4333333333334,3540.766666666667,4594.85,5862.683333333333,2018-07-10 21:59:00+00:00,2018-12-21 22:59:00+00:00
Clear Invoice -> Vendor creates invoice,518,51,True,0.0077292987404274155,611.2833333333333,1555.9833333333333,3635.8,5578.466666666666,2018-07-02 21:59:00+00:00,2018-11-20 22:59:00+00:00
Create Purchase Order Item -> Block Purchase Order Item,114,21,False,0.0031826524225289357,1363.6833333333334,1849.15,1849.15,1849.15,2018-07-05 10:15:00+00:00,2018-09-10 11:56:00+00:00
Create Purchase Order Item -> Cancel Goods Receipt,640,18,True,0.002727987790739088,2280.116666666667,4502.829166666666,5204.868333333333,5784.033333333334,2018-07-02 11:02:00+00:00,2018-12-11 12:25:00+00:00
Create Purchase Order Item -> Change Approval for Purchase Order,1447,4,True,0.0006062195090531306,81.44166666666666,187.40833333333333,358.3633333333334,472.3333333333333,2018-07-02 08:26:00+00:00,2018-07-02 09:40:00+00:00
Create Purchase Order Item -> Change Currency,4,0,False,0.0,,,,,,
Create Purchase Order Item -> Change Delivery Indicator,264,37,False,0.005607530458741458,434.35,1051.5333333333333,2129.963333333333,2998.883333333333,2018-07-02 09:43:00+00:00,2018-10-30 11:05:00+00:00
Create Purchase Order Item -> Change Price,3326,107,True,0.016216371867171245,488.18333333333334,1777.3166666666666,5454.406666666667,8069.916666666667,2018-07-02 06:43:00+00:00,2019-01-14 16:51:00+00:00
Create Purchase Order Item -> Change Quantity,6068,455,True,0.0689574691547936,842.65,1412.5333333333333,2122.3600000000006,5155.25,2018-07-01 21:57:00+00:00,2019-01-08 08:36:00+00:00
Create Purchase Order Item -> Change Storage Location,132,3,False,0.00045466463178984795,647.35,1372.475,1807.5500000000002,2097.6,2018-07-06 08:38:00+00:00,2018-09-19 23:36:00+00:00
Create Purchase Order Item -> Delete Purchase Order Item,3916,187,True,0.028340762048233856,1005.0,2704.6916666666666,3584.753333333334,8877.183333333332,2018-07-02 08:06:00+00:00,2019-01-10 06:14:00+00:00
Create Purchase Order Item -> Receive Order Confirmation,14575,64,True,0.009699512144850089,192.4,419.85,688.5000000000001,820.55,2018-07-02 07:17:00+00:00,2018-07-17 13:12:00+00:00
Create Purchase Order Item -> Record Goods Receipt,40773,3447,True,0.5224096619265353,508.05,881.0166666666667,1415.3166666666666,7082.616666666667,2018-07-02 05:55:00+00:00,2019-01-18 10:29:00+00:00
Create Purchase Order Item -> Record Invoice Receipt,532,19,True,0.00287954266800237,1435.25,1435.4666666666667,1435.5666666666666,2518.6666666666665,2018-07-03 09:42:00+00:00,2018-09-06 09:26:00+00:00
Create Purchase Order Item -> Record Service Entry Sheet,1055,0,True,0.0,,,,,,
Create Purchase Order Item -> Release Purchase Order,291,0,False,0.0,,,,,,
Create Purchase Order Item -> SRM: Change was Transmitted,213,0,False,0.0,,,,,,
Create Purchase Order Item -> SRM: Complete,1,0,False,0.0,,,,,,
Create Purchase Order Item -> SRM: Created,16,2,False,0.0003031097545265653,1931.7250000000001,2057.5125000000003,2132.985,2183.3,2018-07-18 06:20:00+00:00,2018-08-16 08:56:00+00:00
Create Purchase Order Item -> SRM: In Transfer to Execution Syst.,25,3,False,0.00045466463178984795,674.6,1679.6583333333333,2282.6933333333336,2684.7166666666667,2018-07-06 12:10:00+00:00,2018-07-24 07:28:00+00:00
Create Purchase Order Item -> SRM: Ordered,4,0,False,0.0,,,,,,
Create Purchase Order Item -> SRM: Transaction Completed,1,0,False,0.0,,,,,,
Create Purchase Order Item -> Vendor creates debit memo,780,25,True,0.0037888719315820663,804.7,896.05,1314.0000000000007,1524.5666666666666,2018-07-03 21:59:00+00:00,2018-08-02 21:59:00+00:00
Create Purchase Order Item -> Vendor creates invoice,59977,3646,True,0.5525690825019285,702.9333333333333,1256.8708333333334,2433.541666666667,6942.733333333334,2018-07-01 21:59:00+00:00,2019-01-11 22:59:00+00:00
Create Purchase Requisition Item -> Create Purchase Order Item,1095,5,True,0.0007577743863164132,3204.0833333333335,4530.866666666667,5792.836666666666,6634.15,2018-07-03 13:54:00+00:00,2018-11-30 09:09:00+00:00
Delete Purchase Order Item -> Change Approval for Purchase Order,176,0,False,0.0,,,,,,
Delete Purchase Order Item -> Change Delivery Indicator,5,0,False,0.0,,,,,,
Delete Purchase Order Item -> Change Price,12,0,False,0.0,,,,,,
Delete Purchase Order Item -> Change Quantity,11,0,False,0.0,,,,,,
Delete Purchase Order Item -> Change Rejection Indicator,1,0,False,0.0,,,,,,
Delete Purchase Order Item -> Clear Invoice,1,0,False,0.0,,,,,,
