activity,case_id,lifecycle,resource,timestamp,case:Company,case:Document Type,case:GR-Based Inv. Verif.,case:Goods Receipt,case:Item,case:Item Category,case:Item Type,case:Name,case:Purch. Doc. Category name,case:Purchasing Document,case:Source,case:Spend area text,case:Spend classification text,case:Sub spend area text,case:Vendor,case:concept:name,event:Cumulative net worth (EUR),event:User
SRM: Ordered,2000000001_00001,,batch_00,2018-01-03T09:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,batch_00
SRM: In Transfer to Execution Syst.,2000000001_00001,,batch_00,2018-01-03T09:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,batch_00
SRM: Change was Transmitted,2000000001_00001,,batch_00,2018-01-03T09:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,batch_00
Create Purchase Order Item,2000000001_00001,,user_000,2018-01-03T09:49:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,user_000
Vendor creates invoice,2000000001_00001,,NONE,2018-01-10T22:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,NONE
Record Goods Receipt,2000000001_00001,,user_000,2018-01-16T12:09:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,user_000
Record Service Entry Sheet,2000000001_00001,,NONE,2018-01-16T12:09:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,NONE
Record Invoice Receipt,2000000001_00001,,user_004,2018-01-16T14:44:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,user_004
Clear Invoice,2000000001_00001,,user_005,2018-03-08T12:21:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,user_005
SRM: In Transfer to Execution Syst.,2000000001_00001,,user_003,2019-01-17T10:58:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,user_003
SRM: Transfer Failed (E.Sys.),2000000001_00001,,user_003,2019-01-17T10:58:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0001,Purchase order,2000000001,sourceSystemID_0000,Marketing,NPR,Marketing Support Services,vendorID_0001,2000000001_00001,557.0,user_003
SRM: Created,2000000002_00001,,batch_00,2018-01-04T13:17:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,batch_00
SRM: Complete,2000000002_00001,,batch_00,2018-01-04T14:17:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,batch_00
SRM: Awaiting Approval,2000000002_00001,,batch_00,2018-01-04T14:17:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,batch_00
SRM: Document Completed,2000000002_00001,,batch_00,2018-01-04T14:17:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,batch_00
SRM: Ordered,2000000002_00001,,batch_00,2018-01-04T14:17:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,batch_00
SRM: In Transfer to Execution Syst.,2000000002_00001,,batch_00,2018-01-04T14:17:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,batch_00
SRM: Change was Transmitted,2000000002_00001,,batch_00,2018-01-04T14:17:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,batch_00
Create Purchase Order Item,2000000002_00001,,user_000,2018-01-04T14:17:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,user_000
Record Goods Receipt,2000000002_00001,,user_000,2018-02-06T14:53:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,user_000
Record Service Entry Sheet,2000000002_00001,,NONE,2018-02-06T14:53:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,NONE
Vendor creates invoice,2000000002_00001,,NONE,2018-02-06T22:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,NONE
Cancel Goods Receipt,2000000002_00001,,user_000,2018-02-08T10:19:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,user_000
Record Goods Receipt,2000000002_00001,,user_000,2018-08-16T10:20:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,user_000
Record Service Entry Sheet,2000000002_00001,,NONE,2018-08-16T10:20:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,NONE
Record Invoice Receipt,2000000002_00001,,batch_00,2018-08-16T10:41:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,batch_00
Clear Invoice,2000000002_00001,,user_002,2018-08-16T13:03:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,user_002
SRM: In Transfer to Execution Syst.,2000000002_00001,,user_003,2019-01-17T10:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,user_003
SRM: Transfer Failed (E.Sys.),2000000002_00001,,user_003,2019-01-17T10:59:00+00:00,companyID_0000,EC Purchase order,True,True,00001,"3-way match, invoice after GR",Service,vendor_0002,Purchase order,2000000002,sourceSystemID_0000,Marketing,NPR,Digital Marketing,vendorID_0002,2000000002_00001,76210.0,user_003
SRM: Created,2000000003_00001,,batch_00,2018-01-08T06:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,batch_00
SRM: Complete,2000000003_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,batch_00
SRM: Awaiting Approval,2000000003_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,batch_00
SRM: Document Completed,2000000003_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,batch_00
SRM: In Transfer to Execution Syst.,2000000003_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,batch_00
SRM: Ordered,2000000003_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,batch_00
SRM: Change was Transmitted,2000000003_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,batch_00
Create Purchase Order Item,2000000003_00001,,user_000,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,user_000
Vendor creates invoice,2000000003_00001,,NONE,2018-01-08T22:59:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,NONE
Record Goods Receipt,2000000003_00001,,user_000,2018-01-12T13:14:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,user_000
Record Invoice Receipt,2000000003_00001,,user_001,2018-02-12T15:58:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,user_001
Clear Invoice,2000000003_00001,,user_005,2018-03-08T12:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00001,28.0,user_005
SRM: Created,2000000003_00002,,batch_00,2018-01-08T06:21:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,batch_00
SRM: Complete,2000000003_00002,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,batch_00
SRM: Awaiting Approval,2000000003_00002,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,batch_00
SRM: Document Completed,2000000003_00002,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,batch_00
SRM: In Transfer to Execution Syst.,2000000003_00002,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,batch_00
SRM: Ordered,2000000003_00002,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,batch_00
SRM: Change was Transmitted,2000000003_00002,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,batch_00
Create Purchase Order Item,2000000003_00002,,user_000,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,user_000
Vendor creates invoice,2000000003_00002,,NONE,2018-01-08T22:59:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,NONE
Record Goods Receipt,2000000003_00002,,user_000,2018-01-12T13:14:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,user_000
Record Invoice Receipt,2000000003_00002,,user_001,2018-02-12T15:58:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,user_001
Clear Invoice,2000000003_00002,,user_005,2018-03-08T12:21:00+00:00,companyID_0000,EC Purchase order,False,True,00002,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00002,37.0,user_005
SRM: Created,2000000003_00003,,batch_00,2018-01-08T06:21:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,batch_00
SRM: Complete,2000000003_00003,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,batch_00
SRM: Awaiting Approval,2000000003_00003,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,batch_00
SRM: Document Completed,2000000003_00003,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,batch_00
SRM: In Transfer to Execution Syst.,2000000003_00003,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,batch_00
SRM: Ordered,2000000003_00003,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,batch_00
SRM: Change was Transmitted,2000000003_00003,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,batch_00
Create Purchase Order Item,2000000003_00003,,user_000,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,user_000
Vendor creates invoice,2000000003_00003,,NONE,2018-01-08T22:59:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,NONE
Record Goods Receipt,2000000003_00003,,user_000,2018-01-12T13:14:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,user_000
Record Invoice Receipt,2000000003_00003,,user_001,2018-02-12T15:58:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,user_001
Clear Invoice,2000000003_00003,,user_005,2018-03-08T12:21:00+00:00,companyID_0000,EC Purchase order,False,True,00003,"3-way match, invoice before GR",Standard,vendor_0003,Purchase order,2000000003,sourceSystemID_0000,Enterprise Services,NPR,Office Supplies,vendorID_0003,2000000003_00003,44.0,user_005
SRM: Created,2000000004_00001,,batch_00,2018-01-08T06:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000004,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000004_00001,166.0,batch_00
SRM: Complete,2000000004_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000004,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000004_00001,166.0,batch_00
SRM: Awaiting Approval,2000000004_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000004,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000004_00001,166.0,batch_00
SRM: Document Completed,2000000004_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000004,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000004_00001,166.0,batch_00
SRM: In Transfer to Execution Syst.,2000000004_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000004,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000004_00001,166.0,batch_00
SRM: Ordered,2000000004_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000004,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000004_00001,166.0,batch_00
SRM: Change was Transmitted,2000000004_00001,,batch_00,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000004,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000004_00001,166.0,batch_00
Create Purchase Order Item,2000000004_00001,,user_000,2018-01-08T07:21:00+00:00,companyID_0000,EC Purchase order,False,True,00001,"3-way match, invoice before GR",Standard,vendor_0000,Purchase order,2000000004,sourceSystemID_0000,CAPEX & SOCS,NPR,Facility Management,vendorID_0000,2000000004_00001,166.0,user_000
