rank,case_count,variant_length,variant
37,686,3,Create Purchase Order Item -> Receive Order Confirmation -> Delete Purchase Order Item
38,674,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
39,642,3,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt
40,629,7,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
41,590,7,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
42,572,3,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt
43,560,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block
44,559,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Change Price -> Remove Payment Block -> Clear Invoice
45,559,5,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block
46,555,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt
47,531,7,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
48,503,5,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block
49,495,7,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
50,490,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Invoice Receipt -> Vendor creates invoice -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
51,466,5,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
52,463,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
53,439,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block
54,426,3,Create Purchase Order Item -> Release Purchase Order -> Change Approval for Purchase Order
55,418,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Delete Purchase Order Item
56,377,8,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
57,362,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block
58,346,6,Create Purchase Order Item -> Record Invoice Receipt -> Vendor creates invoice -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
59,344,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
60,327,7,Create Purchase Order Item -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
61,327,7,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
62,321,6,Create Purchase Order Item -> Record Goods Receipt -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
63,303,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Record Goods Receipt
64,298,3,Create Purchase Order Item -> Record Goods Receipt -> Record Service Entry Sheet
65,281,12,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> SRM: Change was Transmitted -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
66,280,5,Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Clear Invoice
67,280,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
68,279,2,Create Purchase Order Item -> Change Approval for Purchase Order
69,278,7,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Change Price -> Remove Payment Block -> Clear Invoice
70,259,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Invoice Receipt -> Vendor creates invoice -> Record Goods Receipt -> Remove Payment Block
71,253,2,Create Purchase Order Item -> Change Delivery Indicator
72,252,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Change Price -> Record Invoice Receipt -> Clear Invoice
73,248,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Price -> Record Goods Receipt
74,247,6,Vendor creates invoice -> Create Purchase Order Item -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
75,246,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block
76,245,5,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
77,242,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
78,217,4,Vendor creates invoice -> Create Purchase Order Item -> Change Approval for Purchase Order -> Record Invoice Receipt
79,213,4,Create Purchase Order Item -> Cancel Goods Receipt -> Vendor creates debit memo -> Cancel Invoice Receipt
80,212,3,Create Purchase Order Item -> Delete Purchase Order Item -> Change Approval for Purchase Order
81,208,6,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Record Goods Receipt -> Clear Invoice
82,205,8,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Approval for Purchase Order -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
83,203,6,Vendor creates invoice -> Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
84,202,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
85,200,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt
86,199,7,Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
87,198,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
88,194,5,Create Purchase Order Item -> Cancel Goods Receipt -> Vendor creates debit memo -> Cancel Invoice Receipt -> Clear Invoice
89,190,7,Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
90,190,6,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block
91,189,3,Create Purchase Order Item -> Cancel Goods Receipt -> Cancel Invoice Receipt
92,188,5,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block
93,187,6,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Clear Invoice
94,180,6,Create Purchase Order Item -> Change Approval for Purchase Order -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
95,180,2,Create Purchase Order Item -> Cancel Goods Receipt
96,177,6,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
97,174,3,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity
98,172,5,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
99,147,4,Create Purchase Requisition Item -> Release Purchase Requisition -> Create Purchase Order Item -> Record Goods Receipt
100,145,7,Create Purchase Order Item -> Change Quantity -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
101,142,7,Create Purchase Order Item -> Record Goods Receipt -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
102,137,7,Create Purchase Order Item -> Change Quantity -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
103,135,7,Create Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
104,132,6,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block
105,132,3,Create Purchase Order Item -> Change Approval for Purchase Order -> Change Price
106,131,4,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Record Invoice Receipt
107,130,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
108,129,4,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt
109,128,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
110,127,3,Create Purchase Order Item -> Block Purchase Order Item -> Delete Purchase Order Item
111,124,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
112,121,7,Create Purchase Order Item -> Change Approval for Purchase Order -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
113,121,3,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation
114,118,3,Create Purchase Order Item -> Change Price -> Record Goods Receipt
115,115,3,Create Purchase Order Item -> Change Quantity -> Delete Purchase Order Item
116,114,9,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
117,110,7,Create Purchase Order Item -> Change Price -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
118,110,7,Create Purchase Order Item -> Change Price -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
119,107,6,Create Purchase Order Item -> Vendor creates invoice -> Change Price -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
120,106,7,Create Purchase Order Item -> Receive Order Confirmation -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
121,101,4,Create Purchase Order Item -> Release Purchase Order -> Change Approval for Purchase Order -> Block Purchase Order Item
122,101,2,Create Purchase Order Item -> Receive Order Confirmation
123,100,8,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
124,98,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
125,96,8,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
126,96,8,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
127,96,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
128,95,2,Create Purchase Order Item -> Change Price
129,94,10,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
130,93,4,Change Approval for Purchase Order -> Change Approval for Purchase Order -> Create Purchase Order Item -> Change Approval for Purchase Order
131,92,9,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
132,92,10,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice
133,92,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
134,91,7,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Change Quantity -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
135,90,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Change Quantity -> Record Invoice Receipt -> Clear Invoice
136,90,8,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Change Price -> Remove Payment Block -> Clear Invoice
137,90,10,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Clear Invoice
138,88,12,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> Create Purchase Order Item -> SRM: Change was Transmitted -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
139,88,5,Create Purchase Order Item -> Record Goods Receipt -> Change Quantity -> Change Delivery Indicator -> Record Goods Receipt
140,86,2,Create Purchase Order Item -> Change Quantity
141,85,3,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Delivery Indicator
142,82,7,Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
143,82,9,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
144,82,3,Create Purchase Requisition Item -> Release Purchase Requisition -> Create Purchase Order Item
145,81,9,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
146,81,3,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Price
147,80,7,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Change Price -> Remove Payment Block -> Clear Invoice
148,80,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Change Delivery Indicator -> Record Invoice Receipt -> Clear Invoice
149,79,6,Create Purchase Requisition Item -> Release Purchase Requisition -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
150,77,9,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
151,76,7,Create Purchase Order Item -> Change Approval for Purchase Order -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
152,76,8,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
153,76,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block
154,76,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Price -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt
155,76,5,Vendor creates invoice -> Create Purchase Order Item -> Change Approval for Purchase Order -> Record Invoice Receipt -> Clear Invoice
156,75,9,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates debit memo -> Vendor creates invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
157,75,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt
158,74,10,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
159,73,4,Create Purchase Order Item -> Record Goods Receipt -> Cancel Goods Receipt -> Record Goods Receipt
160,71,7,Create Purchase Order Item -> Change Price -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
161,70,7,Create Purchase Order Item -> Change Quantity -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
162,69,4,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
163,68,3,Create Purchase Order Item -> Record Goods Receipt -> Change Delivery Indicator
164,65,7,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
165,65,9,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
166,65,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Delete Purchase Order Item -> Change Approval for Purchase Order
167,63,3,Create Purchase Order Item -> Change Price -> Delete Purchase Order Item
168,62,7,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt
169,60,12,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: Ordered -> SRM: In Transfer to Execution Syst. -> SRM: Change was Transmitted -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
170,60,4,Create Purchase Order Item -> Change Quantity -> Change Quantity -> Record Goods Receipt
171,60,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
172,60,7,Create Purchase Order Item -> Change Quantity -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
173,59,7,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
174,59,2,Create Purchase Order Item -> Block Purchase Order Item
175,59,7,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
176,59,5,Create Purchase Order Item -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt
177,58,7,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Change Price -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
178,58,7,Create Purchase Order Item -> Receive Order Confirmation -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
179,57,7,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
180,56,5,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt
181,56,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Approval for Purchase Order -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt
182,55,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt
183,54,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Change Price -> Clear Invoice
184,54,7,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice -> Record Invoice Receipt
185,54,14,Create Purchase Order Item -> Release Purchase Order -> Change Approval for Purchase Order -> Release Purchase Order -> Change Approval for Purchase Order -> Release Purchase Order -> Change Approval for Purchase Order -> Release Purchase Order -> Change Approval for Purchase Order -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
186,53,8,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Change Price -> Remove Payment Block -> Clear Invoice
187,53,8,Create Purchase Order Item -> Change Approval for Purchase Order -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
188,52,7,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt
189,52,6,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Change Price -> Record Invoice Receipt -> Clear Invoice
190,52,6,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
191,51,3,Create Purchase Order Item -> Delete Purchase Order Item -> Change Quantity
192,51,6,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt
193,50,12,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
194,49,7,Create Purchase Order Item -> Change Quantity -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
195,49,7,Create Purchase Order Item -> Receive Order Confirmation -> Record Invoice Receipt -> Vendor creates invoice -> Record Goods Receipt -> Remove Payment Block -> Clear Invoice
196,49,9,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Record Goods Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
197,49,7,Create Purchase Order Item -> Change Price -> Change Price -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
