resource,event_count,distinct_activities,activity_entropy,active_months
user_509,182,1,0.0,4
user_381,182,3,0.06811529608647736,2
user_306,178,1,0.0,7
user_232,177,1,0.0,13
user_231,177,4,0.46102175970059117,11
user_353,176,1,0.0,3
user_293,176,1,0.0,5
user_014,172,4,1.3862943611198906,8
user_010,167,6,1.4826816501926405,6
user_497,167,1,0.0,4
user_283,163,1,0.0,11
user_345,163,1,0.0,8
user_238,160,3,0.1546983741903095,12
user_486,160,1,0.0,4
user_440,159,1,0.0,5
user_123,158,1,0.0,9
user_163,156,5,0.7375679477012282,12
user_185,155,1,0.0,5
user_462,154,1,0.0,4
user_468,151,1,0.0,4
user_292,150,2,0.040048630190433046,6
user_221,148,1,0.0,11
user_181,145,1,0.0,12
user_530,142,1,0.0,4
user_224,142,3,0.17611214164649072,11
user_139,140,2,0.10354796757746547,12
user_519,139,1,0.0,4
user_212,139,1,0.0,9
user_466,139,2,0.38542826651675904,4
user_320,136,3,0.20069409072578565,7
user_170,134,2,0.10719288797064877,11
user_488,134,1,0.0,4
user_239,132,3,0.6309404854337874,11
user_218,130,8,1.4796301445291216,12
user_083,130,2,0.04510521843515391,7
user_539,129,1,0.0,4
user_469,128,2,0.2930365266374333,4
user_016,118,6,1.4604616051569275,7
user_009,118,6,1.5103886811336316,7
user_223,118,4,0.9588315437219298,10
user_439,116,1,0.0,5
user_244,116,4,0.1858473639842053,5
user_392,115,1,0.0,7
user_264,111,1,0.0,4
user_003,108,2,0.6682484776645385,1
user_300,108,1,0.0,4
user_131,108,6,1.112982737507211,11
user_333,106,1,0.0,5
user_272,105,4,0.7775803303386273,12
user_349,103,2,0.09576329345209114,4
user_329,102,1,0.0,8
user_346,102,1,0.0,4
user_350,101,2,0.05554607526889177,3
user_358,99,3,0.11282727523733607,9
user_174,97,2,0.570671223958424,11
user_435,94,1,0.0,5
user_236,93,1,0.0,12
user_465,93,1,0.0,4
user_213,92,4,0.575657643819109,2
user_118,90,3,0.6900799176025821,9
user_217,90,1,0.0,12
user_441,90,1,0.0,5
user_470,88,1,0.0,4
user_255,86,1,0.0,11
user_326,86,5,0.9159373724812081,3
user_266,84,3,0.5655568009540307,3
user_125,83,5,1.4676332150649452,11
user_337,82,1,0.0,4
user_482,82,2,0.39419340249943036,4
user_471,81,2,0.4791656239282754,4
user_090,81,4,1.0183208527137253,2
user_151,80,4,0.7381275751534703,13
user_271,79,5,0.9033213286930769,11
user_475,78,1,0.0,4
user_331,78,1,0.0,2
user_411,77,2,0.0693153717009415,2
user_179,77,2,0.30463609734923813,11
user_324,77,1,0.0,3
user_319,77,5,1.1697384311987347,12
user_022,75,6,1.5242473011410607,12
user_391,74,1,0.0,1
user_434,73,2,0.12557498044903107,5
user_369,71,2,0.0740225961475812,3
user_284,71,7,0.8415479310324528,8
user_352,70,1,0.0,3
user_114,70,1,0.0,4
user_166,69,3,0.7063357943648705,7
user_209,69,5,0.7828970324910691,5
user_344,66,1,0.0,3
user_265,66,1,0.0,11
user_149,65,1,0.0,12
user_225,64,6,1.4493668035930725,10
user_312,63,1,0.0,3
user_493,63,1,0.0,4
user_205,63,1,0.0,4
user_597,62,1,0.0,1
user_500,62,3,1.0268630343893188,3
user_199,61,7,1.3831065765296007,10
user_318,61,1,0.0,9
user_525,61,1,0.0,3
user_460,61,1,0.0,4
user_145,60,1,0.0,13
user_419,58,1,0.0,1
user_254,57,1,0.0,7
user_458,56,2,0.46922034844159877,4
user_270,56,1,0.0,6
user_330,54,1,0.0,3
user_387,53,6,1.1745811765776353,8
user_206,52,4,0.944531131569049,7
user_275,52,1,0.0,6
user_362,52,1,0.0,11
user_305,51,2,0.09650896073594732,6
user_364,50,1,0.0,2
user_476,50,1,0.0,4
user_248,48,1,0.0,13
user_380,48,2,0.10126481756679193,4
user_514,48,2,0.45056120886630463,4
user_347,48,1,0.0,5
user_285,47,2,0.10296666046541245,7
user_367,47,1,0.0,7
user_416,46,1,0.0,5
user_448,46,1,0.0,4
user_505,46,1,0.0,4
user_452,46,2,0.2954391918721161,4
user_313,46,2,0.17884491271684755,5
user_368,45,1,0.0,3
user_328,45,4,1.1368005186695187,8
user_279,44,2,0.625491359725573,8
user_545,44,1,0.0,3
user_314,44,1,0.0,4
user_481,43,1,0.0,4
user_316,42,1,0.0,2
user_473,42,2,0.25731864054383163,4
user_160,42,1,0.0,3
user_260,41,5,0.6750747724586077,8
user_342,41,1,0.0,3
user_544,41,2,0.3707947167874672,4
user_537,40,1,0.0,3
user_495,40,1,0.0,4
user_376,40,1,0.0,2
user_523,40,1,0.0,3
user_455,40,2,0.2663844632679204,4
user_552,40,1,0.0,4
user_454,40,2,0.2663844632679204,4
user_261,38,1,0.0,2
user_323,38,1,0.0,5
user_463,37,1,0.0,4
user_021,36,4,1.3862943611198906,2
user_356,36,1,0.0,5
user_025,36,1,0.0,2
user_111,36,2,0.6682484776645385,5
user_459,35,2,0.355382896246011,4
user_496,34,2,0.13269142083987176,4
user_274,34,3,0.4283676329729558,4
user_259,34,1,0.0,7
user_536,34,1,0.0,3
user_378,33,4,1.0953661268887036,5
user_498,33,2,0.30463609734923813,4
user_302,33,1,0.0,8
user_268,32,1,0.0,12
user_361,32,3,0.7856352652491524,3
user_256,32,5,1.1737248027155431,9
user_336,32,1,0.0,2
user_309,32,2,0.13906079845474112,4
user_394,31,2,0.38454291975622856,4
user_410,31,1,0.0,2
user_365,31,1,0.0,1
user_242,31,1,0.0,2
user_601,31,3,1.0131875083727033,1
user_348,30,1,0.0,2
user_501,30,1,0.0,4
user_490,29,2,0.40118986218700575,4
user_165,28,2,0.5982695885852573,6
user_427,28,1,0.0,3
user_456,27,2,0.15841057013179086,4
user_290,27,2,0.15841057013179086,6
user_502,27,2,0.34883209584303193,4
user_483,27,2,0.2640520518256287,4
user_229,26,1,0.0,4
user_507,26,2,0.4293230219306162,4
user_291,26,2,0.3576271598532216,4
user_551,26,1,0.0,4
user_017,25,5,1.0704836531307915,2
user_412,25,1,0.0,1
user_371,25,1,0.0,2
user_301,25,1,0.0,1
user_467,24,1,0.0,4
user_513,23,2,0.2954391918721161,4
user_472,23,2,0.46203690946645704,4
user_563,23,2,0.6145033203107282,3
user_478,22,1,0.0,3
user_547,22,2,0.30463609734923813,4
user_404,22,1,0.0,1
user_253,21,1,0.0,6
user_567,21,2,0.48691270946460224,4
user_445,20,4,1.3862943611198906,1
user_503,20,1,0.0,4
user_521,20,1,0.0,4
user_479,20,1,0.0,4
user_183,19,1,0.0,8
user_506,19,1,0.0,3
user_516,19,1,0.0,3
user_512,19,1,0.0,4
user_247,19,2,0.5146531654289292,3
user_535,18,1,0.0,3
user_477,18,1,0.0,4
user_569,18,1,0.0,1
user_499,18,2,0.45056120886630463,4
user_129,18,4,1.0399095464305241,5
user_487,17,1,0.0,3
user_518,16,1,0.0,4
user_246,16,1,0.0,1
user_511,16,2,0.48257756517701206,3
user_383,15,1,0.0,3
user_281,15,3,0.8033149761408755,2
user_289,14,2,0.6829081047004717,5
user_287,14,2,0.6829081047004717,4
user_568,14,1,0.0,4
user_026,14,6,1.6973896536140218,3
user_494,14,2,0.25731864054383163,4
user_295,14,1,0.0,4
user_241,14,1,0.0,4
user_278,14,2,0.25731864054383163,1
user_550,13,2,0.5402041423888608,3
user_564,13,2,0.4293230219306162,4
user_226,13,1,0.0,4
user_143,13,4,1.0905994737794786,6
user_366,13,4,1.2658567518727373,3
user_520,13,1,0.0,3
user_515,13,2,0.5402041423888608,3
user_558,12,2,0.2868359830561607,4
user_351,12,1,0.0,3
user_492,12,2,0.5623351446188083,3
user_399,12,1,0.0,2
user_549,12,1,0.0,2
user_303,11,2,0.47413931305783735,3
user_403,11,1,0.0,1
user_578,11,1,0.0,2
user_577,10,1,0.0,3
user_237,10,1,0.0,4
user_357,10,1,0.0,3
user_028,9,3,1.0986122886681096,1
user_276,9,1,0.0,6
user_150,9,4,1.1490596969706204,1
user_474,9,1,0.0,4
user_379,9,1,0.0,1
user_228,9,4,1.3689223607402192,3
user_504,9,1,0.0,3
user_543,9,1,0.0,2
user_527,9,1,0.0,4
user_554,9,1,0.0,4
user_581,9,3,0.8486855577264172,1
user_557,9,1,0.0,4
user_437,8,3,0.9002560512685369,1
user_297,8,2,0.6931471805599453,1
user_310,8,1,0.0,1
user_398,8,1,0.0,4
user_528,8,1,0.0,3
user_395,7,1,0.0,3
user_546,7,1,0.0,2
user_389,7,1,0.0,2
user_390,7,1,0.0,2
user_413,7,1,0.0,2
user_491,6,1,0.0,3
user_508,6,1,0.0,3
user_401,6,3,0.8675632284814612,1
user_538,6,2,0.6931471805599453,1
user_382,6,1,0.0,5
user_402,6,1,0.0,1
user_230,6,1,0.0,1
user_565,5,2,0.5004024235381879,4
user_559,5,2,0.6730116670092565,2
user_533,5,1,0.0,2
user_580,5,1,0.0,2
user_588,5,1,0.0,1
user_589,5,1,0.0,2
user_598,5,1,0.0,1
user_532,4,1,0.0,2
user_579,4,1,0.0,2
user_531,4,1,0.0,3
user_555,4,1,0.0,3
user_444,4,4,1.3862943611198906,1
user_442,4,1,0.0,4
user_227,4,2,0.6931471805599453,3
user_570,4,1,0.0,3
user_438,4,1,0.0,1
user_296,4,1,0.0,2
user_576,4,1,0.0,2
user_573,3,1,0.0,1
user_561,3,1,0.0,3
user_566,3,1,0.0,2
user_556,3,1,0.0,3
user_529,3,1,0.0,3
user_396,3,2,0.6365141682948128,2
user_431,3,1,0.0,3
user_338,3,1,0.0,1
user_517,3,1,0.0,2
user_571,3,1,0.0,2
user_393,3,1,0.0,1
user_386,2,1,0.0,2
user_385,2,1,0.0,2
user_315,2,1,0.0,1
user_600,2,1,0.0,1
user_583,2,1,0.0,1
user_522,2,1,0.0,2
user_548,2,1,0.0,2
user_541,2,1,0.0,2
user_423,2,1,0.0,1
user_405,2,1,0.0,1
user_354,2,2,0.6931471805599453,1
user_526,2,1,0.0,2
user_585,2,1,0.0,1
user_586,1,1,0.0,1
user_587,1,1,0.0,1
user_594,1,1,0.0,1
user_590,1,1,0.0,1
user_593,1,1,0.0,1
user_553,1,1,0.0,1
user_575,1,1,0.0,1
user_540,1,1,0.0,1
user_542,1,1,0.0,1
user_489,1,1,0.0,1
user_426,1,1,0.0,1
user_425,1,1,0.0,1
user_414,1,1,0.0,1
user_415,1,1,0.0,1
user_418,1,1,0.0,1
user_420,1,1,0.0,1
user_422,1,1,0.0,1
user_245,1,1,0.0,1
user_282,1,1,0.0,1
user_298,1,1,0.0,1
user_443,1,1,0.0,1
user_132,1,1,0.0,1
user_055,1,1,0.0,1
user_397,1,1,0.0,1
user_409,1,1,0.0,1
user_339,1,1,0.0,1
user_334,1,1,0.0,1
user_595,1,1,0.0,1
user_596,1,1,0.0,1
user_408,1,1,0.0,1
user_406,1,1,0.0,1
user_219,1,1,0.0,1
user_340,1,1,0.0,1
user_534,1,1,0.0,1
user_343,1,1,0.0,1
user_341,1,1,0.0,1
user_560,1,1,0.0,1
user_562,1,1,0.0,1
user_582,1,1,0.0,1
user_584,1,1,0.0,1
user_606,1,1,0.0,1
