transition,h1_count,h2_count,h1_median_hours,h2_median_hours,median_shift_hours,median_ratio_h2_h1,wasserstein_hours,abs_median_shift_hours
Remove Payment Block -> Record Invoice Receipt,266,160,144.475,112.725,-31.75,0.7802387956393839,111.72042058270691,31.75
Vendor creates debit memo -> Record Invoice Receipt,865,430,224.55,252.025,27.474999999999994,1.1223558227566244,111.58119079625402,27.474999999999994
Create Purchase Order Item -> Vendor creates debit memo,780,269,135.44166666666666,87.9,-47.54166666666666,0.6489878791607704,111.35003518889204,47.54166666666666
Cancel Invoice Receipt -> Remove Payment Block,402,206,9.3,12.850000000000001,3.5500000000000007,1.381720430107527,107.98931716820435,3.5500000000000007
Create Purchase Order Item -> Release Purchase Order,291,455,0.0,113.38333333333334,113.38333333333334,,107.88054315672872,113.38333333333334
Record Invoice Receipt -> Change Delivery Indicator,160,110,143.25833333333333,120.925,-22.33333333333333,0.8441044732708975,101.5623579545454,22.33333333333333
Release Purchase Order -> Change Approval for Purchase Order,959,530,1.35,0.11666666666666667,-1.2333333333333334,0.08641975308641975,97.05832907050711,1.2333333333333334
Record Goods Receipt -> Change Price,520,239,160.625,170.51666666666668,9.89166666666668,1.0615823605706876,91.10983250187742,9.89166666666668
Record Invoice Receipt -> Change Price,1415,454,141.8,214.61666666666667,72.81666666666666,1.5135166901739538,89.72271527010265,72.81666666666666
Change Approval for Purchase Order -> Change Approval for Purchase Order,1222,317,28.383333333333333,210.33333333333334,181.95000000000002,7.410452143276571,88.01544626984088,181.95000000000002
Vendor creates invoice -> Record Invoice Receipt,53878,41174,87.3,136.425,49.125000000000014,1.5627147766323026,87.77277833333335,49.125000000000014
SRM: Change was Transmitted -> Vendor creates invoice,156,139,84.83333333333333,39.78333333333333,-45.05,0.46895874263261295,86.57808214966488,45.05
Change Price -> Vendor creates invoice,2177,1215,88.4,107.61666666666666,19.216666666666654,1.2173831070889893,83.2407092039043,19.216666666666654
Receive Order Confirmation -> Vendor creates invoice,4570,4620,129.26666666666665,204.97500000000002,75.70833333333337,1.5856756059824655,82.97916956372099,75.70833333333337
Record Invoice Receipt -> Vendor creates invoice,2353,1503,14.016666666666667,6.333333333333333,-7.6833333333333345,0.4518430439952437,74.51810626280155,7.6833333333333345
Create Purchase Order Item -> Delete Purchase Order Item,3917,2967,20.666666666666668,37.46666666666667,16.8,1.8129032258064517,73.60143813818783,16.8
Change Quantity -> Delete Purchase Order Item,118,111,103.625,46.36666666666667,-57.25833333333333,0.4474467229593888,69.17991805364686,57.25833333333333
Change Price -> Change Price,479,191,28.0,0.7666666666666667,-27.233333333333334,0.027380952380952384,66.58082465287264,27.233333333333334
Create Purchase Order Item -> Change Price,3355,3065,46.8,22.4,-24.4,0.47863247863247865,65.11403519051122,24.4
Record Service Entry Sheet -> Cancel Goods Receipt,123,249,0.8166666666666667,29.2,28.383333333333333,35.755102040816325,64.67909361021327,28.383333333333333
Receive Order Confirmation -> Record Goods Receipt,9535,10858,119.83333333333333,143.25833333333333,23.424999999999997,1.19547983310153,62.3049547961611,23.424999999999997
Change Approval for Purchase Order -> Record Invoice Receipt,393,254,44.083333333333336,24.4,-19.683333333333337,0.5534971644612475,61.83519631610934,19.683333333333337
Change Price -> Record Goods Receipt,1454,1608,167.11666666666667,149.36666666666667,-17.75,0.893786775705595,58.03498735973956,17.75
Create Purchase Order Item -> Vendor creates invoice,59988,43138,174.34166666666667,132.20833333333331,-42.133333333333354,0.7583289517709477,56.76835666666665,42.133333333333354
Record Invoice Receipt -> Change Quantity,447,214,98.13333333333334,105.83333333333334,7.700000000000003,1.0784646739130435,54.3713940984201,7.700000000000003
Change Delivery Indicator -> Record Goods Receipt,435,270,1.4833333333333334,4.458333333333334,2.9750000000000005,3.00561797752809,53.17745210727966,2.9750000000000005
Change Quantity -> Change Price,287,222,42.766666666666666,21.666666666666668,-21.099999999999998,0.5066250974279034,53.04918856138373,21.099999999999998
Receive Order Confirmation -> Delete Purchase Order Item,580,649,154.6,190.73333333333332,36.133333333333326,1.2337214316515739,52.90598706232399,36.133333333333326
Create Purchase Order Item -> Change Storage Location,132,118,93.68333333333334,65.98333333333333,-27.700000000000003,0.7043230741860879,52.090532443074835,27.700000000000003
Change Quantity -> Vendor creates invoice,3432,2561,153.88333333333333,134.48333333333332,-19.400000000000006,0.8739304668038557,49.770165068293224,19.400000000000006
Record Invoice Receipt -> Record Invoice Receipt,4234,1627,1.9166666666666667,2.3833333333333333,0.46666666666666656,1.2434782608695651,49.54483499687463,0.46666666666666656
Cancel Goods Receipt -> Record Goods Receipt,553,316,0.03333333333333333,0.05,0.01666666666666667,1.5,46.25999095840881,0.01666666666666667
Vendor creates invoice -> Vendor creates invoice,1132,370,120.0,96.0,-24.0,0.8,42.29048323942321,24.0
Change Quantity -> Change Delivery Indicator,691,438,0.0,0.0,0.0,,38.2896061451099,0.0
Record Goods Receipt -> Vendor creates debit memo,414,217,34.13333333333334,38.95,4.816666666666663,1.1411132812499998,34.23588923024411,4.816666666666663
Record Goods Receipt -> Change Delivery Indicator,402,331,41.099999999999994,28.183333333333334,-12.91666666666666,0.6857258718572589,32.31382137650115,12.91666666666666
Record Goods Receipt -> Cancel Goods Receipt,641,403,0.3,0.4666666666666667,0.16666666666666669,1.5555555555555556,30.42467389018142,0.16666666666666669
Cancel Invoice Receipt -> Clear Invoice,2141,838,0.016666666666666666,0.03333333333333333,0.016666666666666666,2.0,30.32277031900204,0.016666666666666666
Record Goods Receipt -> Remove Payment Block,10328,5028,8.683333333333334,13.733333333333333,5.049999999999999,1.581573896353167,29.12907732961869,5.049999999999999
Create Purchase Requisition Item -> Create Purchase Order Item,1113,45004,14.183333333333334,10.816666666666666,-3.366666666666667,0.762632197414806,27.777923129679685,3.366666666666667
Change Quantity -> Record Goods Receipt,5060,4135,19.391666666666666,33.53333333333333,14.141666666666666,1.7292651482595616,27.246378886653154,14.141666666666666
Vendor creates invoice -> Change Quantity,1640,904,41.43333333333333,36.9,-4.533333333333331,0.8905872888173774,26.364749172602373,4.533333333333331
Record Goods Receipt -> Change Quantity,834,638,25.633333333333333,42.43333333333334,16.800000000000004,1.655396618985696,24.994224557657923,16.800000000000004
Cancel Invoice Receipt -> Record Invoice Receipt,1344,498,0.08333333333333333,0.16666666666666666,0.08333333333333333,2.0,23.837727547093166,0.08333333333333333
Vendor creates debit memo -> Record Goods Receipt,806,315,56.46666666666667,57.9,1.43333333333333,1.025383707201889,23.828348037864195,1.43333333333333
Receive Order Confirmation -> Change Quantity,190,282,74.48333333333333,44.81666666666666,-29.66666666666667,0.6017006041620049,19.659162000746534,29.66666666666667
Change Quantity -> Receive Order Confirmation,109,127,1.7333333333333334,0.8333333333333334,-0.9,0.4807692307692308,19.42199306508705,0.9
Change Price -> Remove Payment Block,1303,418,0.016666666666666666,0.0,-0.016666666666666666,0.0,19.28348330622125,0.016666666666666666
Create Purchase Order Item -> Change Approval for Purchase Order,1525,1385,3.4166666666666665,2.8333333333333335,-0.583333333333333,0.8292682926829269,18.86113286382198,0.583333333333333
Create Purchase Order Item -> Record Goods Receipt,40937,36064,312.05,291.18333333333334,-20.866666666666674,0.933130374405811,18.397256666666653,20.866666666666674
Vendor creates invoice -> Change Delivery Indicator,127,104,58.166666666666664,57.66666666666667,-0.4999999999999929,0.9914040114613182,16.25825005047446,0.4999999999999929
Record Invoice Receipt -> Record Goods Receipt,10925,4531,27.333333333333332,30.65,3.3166666666666664,1.1213414634146341,11.151628113541438,3.3166666666666664
Change Quantity -> Change Quantity,1323,965,2.4,4.45,2.0500000000000003,1.8541666666666667,10.838970388385649,2.0500000000000003
Create Purchase Order Item -> Record Service Entry Sheet,1057,1013,0.0,0.0,0.0,,10.366520848645866,0.0
SRM: Document Completed -> SRM: Ordered,303,144,0.0,0.0,0.0,,9.141375595892969,0.0
Change Approval for Purchase Order -> Receive Order Confirmation,355,360,0.6166666666666667,0.9416666666666667,0.32499999999999996,1.527027027027027,8.528678273343768,0.32499999999999996
Vendor creates invoice -> Vendor creates debit memo,1898,730,0.0,0.0,0.0,,8.454478398313999,0.0
Delete Purchase Order Item -> Change Approval for Purchase Order,177,125,0.0,0.0,0.0,,7.45528135593219,0.0
Record Goods Receipt -> Vendor creates invoice,43421,37179,15.55,14.416666666666666,-1.1333333333333346,0.9271168274383708,6.99797083333328,1.1333333333333346
Vendor creates debit memo -> Vendor creates invoice,1321,563,0.0,0.0,0.0,,5.450604593376832,0.0
Create Purchase Order Item -> Receive Order Confirmation,14584,16246,1.35,1.9333333333333333,0.5833333333333333,1.4320987654320987,3.902670682434945,0.5833333333333333
Vendor creates invoice -> Record Goods Receipt,61614,48369,34.65,33.75,-0.8999999999999986,0.974025974025974,3.7447633333333012,0.8999999999999986
Record Service Entry Sheet -> Record Goods Receipt,10432,7783,0.0,0.0,0.0,,3.221438519949492,0.0
SRM: Document Completed -> SRM: In Transfer to Execution Syst.,618,496,0.0,0.0,0.0,,1.9087567856770133,0.0
Record Goods Receipt -> Record Goods Receipt,27111,27066,0.0,0.0,0.0,,1.6797933333333346,0.0
Record Goods Receipt -> Record Service Entry Sheet,13277,8474,0.0,0.0,0.0,,0.47801640299394466,0.0
SRM: Created -> SRM: Complete,930,644,2.0,2.0,0.0,1.0,0.08153097798259089,0.0
Record Service Entry Sheet -> Record Service Entry Sheet,76258,62739,0.0,0.0,0.0,,0.04171166666666212,0.0
Create Purchase Order Item -> SRM: Change was Transmitted,214,224,0.0,0.0,0.0,,0.0006473909657320864,0.0
SRM: Ordered -> SRM: Change was Transmitted,461,302,0.0,0.0,0.0,,0.00015610559633774296,0.0
SRM: Change was Transmitted -> Create Purchase Order Item,483,326,0.0,0.0,0.0,,0.00015210405314433073,0.0
SRM: Ordered -> Create Purchase Order Item,164,200,0.0,0.0,0.0,,8.333333333333341e-05,0.0
SRM: Ordered -> SRM: In Transfer to Execution Syst.,231,115,0.0,0.0,0.0,,7.08952882865932e-05,0.0
SRM: In Transfer to Execution Syst. -> SRM: Ordered,620,481,0.0,0.0,0.0,,5.376344086021427e-05,0.0
SRM: Awaiting Approval -> SRM: Document Completed,951,649,0.0,0.0,0.0,,0.0,0.0
SRM: Complete -> SRM: Awaiting Approval,951,651,0.0,0.0,0.0,,0.0,0.0
