transition,count,mean,median,p75,p90,p95,p99,max,sum,share_of_summarized_gap_hours_pct,tail_ratio_p95_to_median
Vendor creates invoice -> Clear Invoice,1366,750.7585895558809,278.18333333333334,1405.5833333333333,2417.25,2602.0833333333335,2709.572499999998,2845.1666666666665,1025536.2333333333,0.24687942792944892,9.353843388652567
Create Purchase Requisition Item -> Create Purchase Order Item,46117,22.016462114476948,10.866666666666667,16.3,34.78333333333333,62.4399999999999,179.40466666666566,6634.15,1015333.1833333333,0.24442322690479257,5.746012269938641
Change Price -> Vendor creates invoice,3392,277.69411851415094,103.95,349.4,705.7216666666667,1030.7266666666635,3085.35,5240.016666666666,941938.45,0.22675476313976994,9.915600448933752
Cancel Goods Receipt -> Cancel Invoice Receipt,299,3119.398272017837,4373.6,4382.633333333333,4985.866666666667,5514.906666666666,7897.196666666663,8375.916666666666,932700.0833333333,0.22453079230038192,1.2609536003902198
Change Approval for Purchase Order -> Vendor creates invoice,884,1039.0062971342384,612.8666666666667,1042.5833333333333,2445.480000000005,4134.083333333333,4690.383333333333,7571.383333333333,918481.5666666667,0.22110793979982962,6.745485695637985
Change Price -> Record Goods Receipt,3062,284.0623067711735,160.01666666666668,404.9875,746.745,916.4733333333332,1921.5666666666666,3093.5833333333335,869798.7833333333,0.20938843413177377,5.7273617331527955
Record Invoice Receipt -> Change Price,1869,431.08876404494384,149.75,574.7833333333333,1256.803333333334,1840.493333333333,2999.9619999999954,4048.9666666666667,805704.9,0.1939589829463401,12.29043962159154
Vendor creates debit memo -> Cancel Invoice Receipt,992,774.6067708333331,349.76666666666665,1049.1,2532.233333333333,2532.233333333333,2532.233333333333,2681.85,768409.9166666665,0.1849808855854651,7.239778900219194
Record Invoice Receipt -> Record Invoice Receipt,5861,110.00375646931694,2.033333333333333,68.28333333333333,263.71666666666664,560.7666666666667,1949.159999999985,5246.05,644732.0166666666,0.15520765261029124,275.78688524590166
Record Service Entry Sheet -> Vendor creates invoice,2664,236.41557182182183,121.07499999999999,386.625,625.1283333333333,765.6999999999986,1177.1851666666666,2762.8166666666666,629811.0833333334,0.15161570591374832,6.324179227751382
Change Price -> Record Invoice Receipt,907,681.0120360161704,455.6166666666667,982.7083333333333,1352.7833333333333,2834.366666666667,2857.8333333333335,5091.233333333334,617677.9166666666,0.14869486396952641,6.220945970662473
Record Goods Receipt -> Clear Invoice,550,1067.6481515151515,742.6500000000001,1829.3833333333332,2543.3,2567.8441666666668,2883.983333333333,2883.983333333333,587206.4833333334,0.14135941370944916,3.457677461343387
Change Approval for Purchase Order -> Change Approval for Purchase Order,1539,381.02817847086857,49.93333333333333,618.1,1125.0,1696.9666666666667,2248.45,2883.633333333333,586402.3666666667,0.14116583706515062,33.98464619492657
Vendor creates debit memo -> Record Invoice Receipt,1295,436.68554697554686,229.21666666666667,639.3,1163.5333333333333,1511.7666666666653,2200.686333333331,4600.8,565507.7833333332,0.1361358414272677,6.595361012142799
Cancel Invoice Receipt -> Clear Invoice,2979,164.66608481593377,0.016666666666666666,74.15,693.6333333333333,891.8016666666666,1683.5199999999954,3891.633333333333,490540.2666666667,0.11808875832441026,53508.1
Create Purchase Order Item -> Receive Order Confirmation,30830,15.910667099145854,1.5666666666666667,6.633333333333334,24.533333333333335,72.71666666666667,302.6236666666666,1369.0,490525.8666666667,0.11808529178305693,46.41489361702128
Record Service Entry Sheet -> Record Invoice Receipt,1798,252.1009176863181,41.38333333333334,155.29583333333335,455.65,745.8033333333323,4726.850499999993,8110.683333333333,453277.44999999995,0.10911840451077127,18.02182843334673
Cancel Goods Receipt -> Vendor creates debit memo,513,848.4527290448344,366.9166666666667,1803.15,1806.15,1807.15,1807.15,2553.5333333333333,435256.25000000006,0.10478012429989933,4.925232795821031
Record Goods Receipt -> Cancel Invoice Receipt,356,1106.6470505617976,1006.8,1665.9375,2399.166666666667,3104.516666666667,3914.4933333333256,5081.833333333333,393966.35,0.09484032250651803,3.0835485366176667
Change Approval for Purchase Order -> Change Quantity,319,1227.4746081504702,1244.4166666666667,1542.7,2210.3533333333335,2543.383333333326,5238.571999999999,5789.366666666667,391564.39999999997,0.09426209618682212,2.0438357999062418
Clear Invoice -> Remove Payment Block,759,500.6075757575757,266.3833333333333,859.0166666666667,1149.9833333333333,1738.3616666666683,3035.8459999999995,5134.416666666667,379961.14999999997,0.09146882216196249,6.525789901770637
Record Invoice Receipt -> Vendor creates invoice,3856,95.74177040110649,8.416666666666666,85.44166666666666,270.82500000000005,463.175,1006.54,7977.25,369180.26666666666,0.08887351814110264,55.030693069306935
Record Goods Receipt -> Record Goods Receipt,54177,6.7109880576628465,0.0,0.0,0.06666666666666667,6.603333333333285,174.45333333333232,2513.0,363581.2,0.08752564340915622,
Change Approval for Purchase Order -> Release Purchase Order,637,556.4504971219257,95.9,141.38333333333333,2874.3,2874.3,2874.3,2874.3,354458.9666666667,0.08532962958383067,29.9718456725756
Change Price -> Change Quantity,1104,320.97115036231884,22.116666666666667,484.4291666666667,1076.028333333334,1535.8358333333315,2178.1196666666697,2645.133333333333,354352.15,0.0853039153899262,69.44246420497355
Change Delivery Indicator -> Record Invoice Receipt,704,497.94275568181814,290.425,676.7958333333333,1142.6933333333338,1485.8225,4238.335333333335,4834.466666666666,350551.69999999995,0.08438902531449234,5.116028234483946
Clear Invoice -> Vendor creates invoice,1136,299.24322183098593,153.88333333333333,321.45,622.5250000000001,971.2833333333333,2937.2116666666734,7398.75,339940.30000000005,0.081834521361945,6.311816311058161
Receive Order Confirmation -> Delete Purchase Order Item,1229,255.9762272850556,166.03333333333333,324.6,564.3900000000007,796.96,1622.9433333333363,4034.3,314594.7833333333,0.07573304346983313,4.800000000000001
Vendor creates invoice -> Vendor creates invoice,1502,204.76031957390146,120.0,240.0,573.6000000000022,741.900000000001,1079.7600000000002,4415.0,307550.0,0.07403713841773446,6.182500000000008
Change Quantity -> Change Quantity,2288,133.04973776223775,2.925,144.30833333333334,456.6,651.3891666666667,1351.9968333333384,2538.5833333333335,304417.8,0.07328311752697839,222.69715099715103
Change Delivery Indicator -> Clear Invoice,265,1050.7299999999998,985.7833333333333,1537.3833333333334,1859.2733333333333,2068.653333333333,2612.6106666666697,3909.65,278443.44999999995,0.06703025930470337,2.0984868209714778
Change Quantity -> Record Invoice Receipt,659,418.8568791097623,189.06666666666666,552.0583333333334,1009.8600000000009,1565.9150000000009,2876.400666666664,6933.166666666667,276026.68333333335,0.06644846613863814,8.28234308885755
Record Goods Receipt -> Change Price,759,356.7083443126921,169.55,440.9,882.4833333333333,1296.5833333333337,2181.9209999999985,5356.533333333334,270741.6333333333,0.06517618527895791,7.647203381500051
Create Purchase Order Item -> Vendor creates debit memo,1049,251.32033682872577,112.0,344.4,641.3600000000008,948.1666666666666,1394.3126666666662,3201.233333333333,263635.0333333333,0.06346539897468391,8.465773809523808
Change Approval for Purchase Order -> Change Price,433,606.9283679753656,258.1333333333333,886.7666666666667,1539.1333333333334,2466.976666666663,2566.616666666667,2940.9166666666665,262799.98333333334,0.06326437568599677,9.556986053718994
Record Invoice Receipt -> Vendor creates debit memo,539,478.0641620284477,249.16666666666666,679.0083333333333,1355.5233333333333,1767.4033333333327,2665.462666666667,4062.95,257676.5833333333,0.062031009160328034,7.09325752508361
Change Price -> Clear Invoice,280,874.5029166666667,593.7416666666667,1389.4166666666667,1927.6683333333333,2232.4866666666667,2354.266666666667,2494.4166666666665,244860.81666666668,0.05894584352667697,3.7600303162149644
Vendor creates invoice -> Change Quantity,2544,93.99759564989519,39.825,87.33333333333333,185.8566666666669,344.3374999999999,1168.2666666666667,1547.75,239129.88333333336,0.057566224263263514,8.646264908976772
Create Purchase Order Item -> Change Delivery Indicator,446,467.8995515695067,237.15833333333333,477.8125,1337.9833333333333,1975.2416666666668,2622.9958333333334,3049.983333333333,208683.19999999998,0.05023673212113726,8.328788783864507
Create Purchase Order Item -> Record Invoice Receipt,1657,125.65582377791189,49.63333333333333,126.23333333333333,316.37333333333333,433.073333333333,1368.00333333334,3366.7,208211.7,0.050123226965019675,8.72545332437877
Clear Invoice -> Record Goods Receipt,690,286.7134057971015,120.83333333333333,305.2583333333333,693.5033333333333,1316.4833333333333,2475.7268333333395,3887.016666666667,197832.25,0.04762456080878507,10.895034482758621
Record Invoice Receipt -> Change Quantity,661,273.44130105900155,99.23333333333333,289.2,668.85,1079.4833333333333,2974.83333333333,4649.983333333334,180744.7,0.04351104006558897,10.878233120591199
Record Goods Receipt -> Change Quantity,1472,122.4858695652174,27.508333333333333,124.12916666666666,310.80500000000006,503.08583333333337,1236.7193333333278,3841.85,180299.2,0.04340379394247045,18.28848833686762
Create Purchase Order Item -> Block Purchase Order Item,252,690.3265211640212,532.8333333333334,827.0458333333333,1370.9733333333334,1849.15,2787.95,4152.766666666666,173962.28333333333,0.041878295075971836,3.4704097591492022
Remove Payment Block -> Cancel Invoice Receipt,335,446.83169154228847,221.58333333333334,430.43333333333334,1439.7333333333333,2251.9166666666665,2518.1183333333342,3795.733333333333,149688.61666666664,0.03603484581924627,10.16284317412561
Change Approval for Purchase Order -> Record Goods Receipt,251,596.2442231075697,375.78333333333336,1107.0583333333334,1199.7166666666667,1199.9166666666667,1199.95,1220.3333333333333,149657.3,0.03602730689424292,3.1931077305184723
Change Price -> Change Price,670,222.562039800995,17.674999999999997,341.95,523.25,867.0541666666666,3089.0333333333333,3431.266666666667,149116.56666666665,0.03589713505666502,49.055398396982554
Create Purchase Order Item -> Cancel Goods Receipt,924,147.32729076479077,58.63333333333333,117.71666666666667,342.81666666666666,373.8033333333322,2280.116666666667,5784.033333333334,136130.4166666667,0.032770952695866905,6.3752700397953195
Vendor creates invoice -> Change Price,852,157.29636150234742,60.83333333333333,110.28333333333333,438.48499999999956,949.05,1261.15,4840.4,134016.5,0.03226206522763879,15.60082191780822
Cancel Subsequent Invoice -> Clear Invoice,225,546.8776296296296,383.7,834.75,1372.2833333333333,1704.7,1874.838,2546.95,123047.46666666667,0.029621467473749205,4.442793849361481
Remove Payment Block -> Record Invoice Receipt,426,268.0800078247262,141.88333333333333,338.6458333333333,687.0,1007.6624999999999,1645.0916666666667,4754.133333333333,114202.08333333334,0.02749210031326173,7.102049806178785
Record Goods Receipt -> Cancel Goods Receipt,1044,102.9927203065134,0.35,22.358333333333334,192.11666666666667,506.97999999999996,2127.307166666654,4051.7833333333333,107524.4,0.02588456799246902,1448.5142857142857
Release Purchase Order -> Change Approval for Purchase Order,1489,68.7448063577345,0.16666666666666666,20.216666666666665,387.5833333333333,431.9,503.28333333333336,503.28333333333336,102361.01666666668,0.024641576197463908,2591.4
Record Goods Receipt -> Vendor creates debit memo,631,157.83961965134708,36.75,181.63333333333333,419.45,680.2916666666667,1462.428333333339,3516.4666666666667,99596.8,0.023976140684647748,18.511337868480727
Record Goods Receipt -> Change Delivery Indicator,733,131.73137789904501,32.38333333333333,121.35,285.4433333333337,469.3866666666663,1833.4233333333118,3218.0666666666666,96559.1,0.023244868971522885,14.494698919197107
Vendor creates debit memo -> Cancel Subsequent Invoice,228,406.2084064327485,288.4583333333333,645.5958333333333,862.3500000000003,1189.0199999999998,1495.0216666666663,2556.9333333333334,92615.51666666666,0.022295522116989083,4.121981799797775
Vendor creates debit memo -> Record Goods Receipt,1121,82.60752304490038,56.85,104.18333333333334,157.5,248.43333333333334,635.8233333333326,2057.8333333333335,92603.03333333333,0.022292516978709404,4.369979478158897
Create Purchase Order Item -> Change Approval for Purchase Order,2910,29.614232531500573,3.35,21.416666666666668,103.51666666666667,117.78333333333333,390.01666666666665,842.1666666666666,86177.41666666667,0.020745665180402464,35.1592039800995
Record Invoice Receipt -> Change Delivery Indicator,270,311.52543209876546,140.68333333333334,406.425,842.5599999999998,1274.9408333333326,1856.8815000000002,3191.9666666666667,84111.86666666667,0.020248421118432856,9.062486672195233
Cancel Invoice Receipt -> Record Invoice Receipt,1842,44.916304741223314,0.09166666666666667,0.975,40.39666666666758,131.45666666666506,1319.4,3053.1,82735.83333333334,0.019917165809158213,1434.0727272727097
Vendor creates invoice -> Remove Payment Block,211,324.92543443917856,81.7,161.50833333333333,1696.8833333333334,1696.8833333333334,1696.8833333333334,1696.8833333333334,68559.26666666668,0.016504412017617848,20.76968584251326
Cancel Invoice Receipt -> Remove Payment Block,608,110.73289473684208,10.316666666666666,16.929166666666667,121.10333333333384,1380.5258333333263,1551.68983333333,3456.9666666666667,67325.59999999999,0.016207428926213695,133.81510500807687
SRM: Change was Transmitted -> Vendor creates invoice,295,226.90836158192087,80.58333333333333,323.73333333333335,648.0700000000003,796.1783333333334,1700.849666666667,2794.116666666667,66937.96666666666,0.01611411316371873,9.880186142709412
Change Quantity -> Change Price,509,128.99102815979043,24.0,141.93333333333334,314.5233333333333,499.9666666666666,1500.9940000000024,2900.116666666667,65656.43333333333,0.015805607032075286,20.831944444444442
Receive Order Confirmation -> Change Quantity,472,137.11938559322036,50.78333333333333,188.0375,338.91666666666674,445.82083333333304,1086.8470000000018,1529.1833333333334,64720.350000000006,0.015580261783105905,8.778880866425988
Vendor creates invoice -> Change Approval for Purchase Order,216,295.4359567901235,154.325,298.37083333333334,696.8583333333333,1093.1708333333333,2819.12583333333,3635.0833333333335,63814.16666666667,0.015362114422085437,7.083562827366489
Vendor creates invoice -> Record Service Entry Sheet,333,184.51481481481483,82.66666666666667,162.78333333333333,447.64666666666665,646.2299999999996,1800.6433333333348,2934.6666666666665,61443.433333333334,0.014791402954189039,7.817298387096768
Change Approval for Purchase Order -> Record Invoice Receipt,647,91.1130602782071,28.816666666666666,60.75833333333333,138.17666666666653,223.0599999999999,1251.0686666666631,3507.2166666666667,58950.149999999994,0.014191189774983607,7.740659340659337
Change Price -> Remove Payment Block,1721,33.85524888630641,0.016666666666666666,4.933333333333334,15.233333333333333,167.2,979.5366666666654,2569.116666666667,58264.88333333333,0.014026224133451956,10032.0
Remove Payment Block -> Vendor creates invoice,300,182.6975,103.11666666666666,233.1875,456.28333333333387,680.8141666666669,1255.5166666666667,1553.5166666666667,54809.25,0.013194342477067834,6.602367868110557
Change Quantity -> Delete Purchase Order Item,229,231.8066957787482,75.46666666666667,336.5833333333333,669.4,813.6533333333333,1948.1693333333328,3358.133333333333,53083.73333333334,0.012778955332564151,10.781625441696113
Record Service Entry Sheet -> Record Goods Receipt,18215,2.7859822490621284,0.0,0.016666666666666666,0.05,0.3549999999999878,71.93100000000001,2206.4166666666665,50746.66666666667,0.01221634850996141,
Create Purchase Order Item -> Release Purchase Order,746,65.99095174262736,113.38333333333334,113.38333333333334,113.38333333333334,113.38333333333334,113.38333333333334,113.38333333333334,49229.25000000001,0.011851057702654055,1.0
Cancel Goods Receipt -> Record Goods Receipt,869,56.54271192942079,0.03333333333333333,0.26666666666666666,120.61666666666754,306.17666666666645,794.0013333333288,4536.016666666666,49135.61666666667,0.011828517159456155,9185.299999999994
Record Service Entry Sheet -> Cancel Goods Receipt,372,122.71299283154121,18.450000000000003,105.3125,322.15833333333336,666.6208333333334,1368.6215,2198.233333333333,45649.23333333333,0.010989232992890448,36.13121047877145
Change Quantity -> Change Delivery Indicator,1129,39.02491880720402,0.0,0.0,0.0,24.91999999999992,1475.1986666666674,6896.566666666667,44059.13333333333,0.010606444978590207,
Remove Payment Block -> Record Goods Receipt,427,100.23227946916472,31.916666666666668,118.6,274.3833333333337,398.8683333333332,883.1420000000018,1605.85,42799.183333333334,0.010303134646776112,12.49718015665796
Change Delivery Indicator -> Record Goods Receipt,705,55.13361702127659,1.8,24.216666666666665,121.47,192.31666666666666,1288.4486666666817,1341.55,38869.2,0.009357061747964896,106.84259259259258
Create Purchase Order Item -> Change Storage Location,250,154.6216666666667,66.55,189.53333333333333,379.025,503.21166666666664,1461.5199999999982,2097.6,38655.41666666667,0.009305597250350186,7.561407463060355
Receive Order Confirmation -> Change Price,219,162.51400304414003,118.13333333333334,261.8833333333333,360.96666666666664,506.77166666666636,996.3603333333328,1485.7666666666667,35590.566666666666,0.00856778966238207,4.289827878103835
Change Approval for Purchase Order -> Create Purchase Order Item,366,93.80860655737705,0.0,0.0,304.1,578.1916666666666,1942.3666666666718,2830.366666666667,34333.95,0.008265281770696062,
Record Service Entry Sheet -> Clear Invoice,311,108.74683815648447,50.18333333333333,154.19166666666666,226.51666666666668,420.80833333333334,668.2566666666656,700.4333333333333,33820.26666666667,0.00814162173475757,8.38542012620392
Vendor creates invoice -> Vendor creates debit memo,2628,12.694444444444445,0.0,0.0,0.0,15.600000000002183,377.52000000000044,2496.0,33361.0,0.008031061533910061,
Reactivate Purchase Order Item -> Record Goods Receipt,260,115.19019230769231,1.8166666666666667,91.15,343.9549999999999,652.4825000000001,964.5593333333348,2713.133333333333,29949.45,0.007209792148219858,359.1646788990826
Delete Purchase Order Item -> Reactivate Purchase Order Item,272,87.87928921568628,1.75,34.9,193.43833333333336,358.24749999999995,1522.0326666666685,3408.9,23903.166666666668,0.00575425803648895,204.7128571428571
Change Delivery Indicator -> Vendor creates invoice,221,107.93227752639517,32.35,88.68333333333334,207.4,493.73333333333335,964.343333333335,2316.516666666667,23853.033333333333,0.005742189336962556,15.262235960844926
Record Goods Receipt -> Record Service Entry Sheet,21751,0.9961235498751015,0.0,0.016666666666666666,0.03333333333333333,0.08333333333333333,23.933333333333334,838.2,21666.683333333334,0.005215864844751164,
Vendor creates debit memo -> Vendor creates invoice,1884,11.13163481953291,0.0,0.0,0.0,44.39999999999782,264.0,1152.0,20972.0,0.0050486323098576725,
Vendor creates invoice -> Change Delivery Indicator,231,86.49949494949495,58.05,107.65,183.86666666666667,280.0916666666667,644.7566666666662,684.85,19981.38333333333,0.004810159140392821,4.825007177720357
Create Purchase Order Item -> Record Service Entry Sheet,2070,9.365120772946861,0.0,0.0,0.0,0.0,60.03049999999409,3487.5666666666666,19385.800000000003,0.00466678315050729,
Create Purchase Requisition Item -> Release Purchase Requisition,467,28.896359743040684,12.25,35.9,80.4,85.89500000000001,130.189,225.9,13494.599999999999,0.0032485825657355204,7.011836734693879
Cancel Goods Receipt -> Cancel Goods Receipt,287,33.44337979094077,0.03333333333333333,0.975,71.70000000000002,207.15499999999983,561.373666666665,1225.1666666666667,9598.25,0.0023106062878166795,6214.649999999995
Change Quantity -> Receive Order Confirmation,236,33.074364406779665,1.3583333333333334,22.15,96.46666666666667,187.8,429.4150000000008,534.3333333333334,7805.550000000001,0.0018790459625314495,138.25766871165644
Record Service Entry Sheet -> Record Service Entry Sheet,138997,0.037769400298807404,0.0,0.0,0.0,0.0,0.016666666666666666,3260.95,5249.833333333333,0.0012638030797269915,
Change Approval for Purchase Order -> Receive Order Confirmation,715,5.053170163170164,0.8333333333333334,1.0,2.226666666666667,63.733333333333334,64.0,64.01666666666667,3613.0166666666673,0.0008697688670316424,76.48
SRM: Document Completed -> SRM: Ordered,447,6.20738255033557,0.0,0.0,0.016666666666666666,1.0583333333333322,98.62200000000023,1584.5166666666667,2774.7,0.0006679591870189817,
Cancel Subsequent Invoice -> Remove Payment Block,206,13.02775080906149,7.683333333333334,13.916666666666666,15.883333333333333,17.68333333333333,40.949999999999996,1003.0166666666667,2683.716666666667,0.0006460565837229101,2.3015184381778737
SRM: Created -> SRM: Complete,1574,1.5507835662854723,2.0,2.0,2.0166666666666666,2.0166666666666666,2.0166666666666666,2.45,2440.9333333333334,0.0005876108569938611,1.0083333333333333
Delete Purchase Order Item -> Change Approval for Purchase Order,302,5.437086092715233,0.0,0.0,0.0,0.08166666666666628,191.93333333333334,336.26666666666665,1642.0000000000002,0.0003952820070945212,
SRM: Document Completed -> SRM: In Transfer to Execution Syst.,1114,1.1022441651705563,0.0,0.0,0.016666666666666666,0.016666666666666666,8.83266666666647,499.8333333333333,1227.8999999999999,0.00029559486998255934,
Release Purchase Requisition -> Create Purchase Order Item,467,1.5640256959314776,0.05,0.21666666666666667,0.36666666666666664,0.44499999999999984,1.1196666666666555,642.5333333333333,730.4,0.00017583068086591855,8.899999999999997
SRM: Ordered -> SRM: Change was Transmitted,763,0.0005679335954565313,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.43333333333333335,1.0431721665101046e-07,
Create Purchase Order Item -> SRM: Change was Transmitted,438,0.0008371385083713851,0.0,0.0,0.0,0.002499999999999621,0.016666666666666666,0.016666666666666666,0.3666666666666667,8.826841408931655e-08,
SRM: Change was Transmitted -> Create Purchase Order Item,809,0.00016481252575195718,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.13333333333333336,3.2097605123387836e-08,
SRM: Ordered -> SRM: In Transfer to Execution Syst.,346,0.0003371868978805395,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.11666666666666667,2.8085404482964352e-08,
SRM: In Transfer to Execution Syst. -> Create Purchase Order Item,225,0.00014814814814814815,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,8.024401280846959e-09,
SRM: In Transfer to Execution Syst. -> SRM: Change was Transmitted,219,0.00015220700152207,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,8.024401280846959e-09,
SRM: In Transfer to Execution Syst. -> SRM: Ordered,1101,3.0275507114744173e-05,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,8.024401280846959e-09,
SRM: Ordered -> Create Purchase Order Item,364,4.578754578754579e-05,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,4.0122006404234795e-09,
SRM: Awaiting Approval -> SRM: Document Completed,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SRM: Complete -> SRM: Awaiting Approval,1602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
