transition,count,mean,median,p75,p90,p95,p99,max,sum,share_of_summarized_gap_hours_pct,tail_ratio_p95_to_median
Vendor creates invoice -> Clear Invoice,1366,750.7585895558809,278.18333333333334,1405.5833333333333,2417.25,2602.0833333333335,2709.572499999998,2845.1666666666665,1025536.2333333333,0.24687942792944892,9.353843388652567
Create Purchase Requisition Item -> Create Purchase Order Item,46117,22.016462114476948,10.866666666666667,16.3,34.78333333333333,62.4399999999999,179.40466666666566,6634.15,1015333.1833333333,0.24442322690479257,5.746012269938641
Change Price -> Vendor creates invoice,3392,277.69411851415094,103.95,349.4,705.7216666666667,1030.7266666666635,3085.35,5240.016666666666,941938.45,0.22675476313976994,9.915600448933752
Cancel Goods Receipt -> Cancel Invoice Receipt,299,3119.398272017837,4373.6,4382.633333333333,4985.866666666667,5514.906666666666,7897.196666666663,8375.916666666666,932700.0833333333,0.22453079230038192,1.2609536003902198
Change Approval for Purchase Order -> Vendor creates invoice,884,1039.0062971342384,612.8666666666667,1042.5833333333333,2445.480000000005,4134.083333333333,4690.383333333333,7571.383333333333,918481.5666666667,0.22110793979982962,6.745485695637985
Change Price -> Record Goods Receipt,3062,284.0623067711735,160.01666666666668,404.9875,746.745,916.4733333333332,1921.5666666666666,3093.5833333333335,869798.7833333333,0.20938843413177377,5.7273617331527955
Record Invoice Receipt -> Change Price,1869,431.08876404494384,149.75,574.7833333333333,1256.803333333334,1840.493333333333,2999.9619999999954,4048.9666666666667,805704.9,0.1939589829463401,12.29043962159154
Vendor creates debit memo -> Cancel Invoice Receipt,992,774.6067708333331,349.76666666666665,1049.1,2532.233333333333,2532.233333333333,2532.233333333333,2681.85,768409.9166666665,0.1849808855854651,7.239778900219194
Record Invoice Receipt -> Record Invoice Receipt,5861,110.00375646931694,2.033333333333333,68.28333333333333,263.71666666666664,560.7666666666667,1949.159999999985,5246.05,644732.0166666666,0.15520765261029124,275.78688524590166
Record Service Entry Sheet -> Vendor creates invoice,2664,236.41557182182183,121.07499999999999,386.625,625.1283333333333,765.6999999999986,1177.1851666666666,2762.8166666666666,629811.0833333334,0.15161570591374832,6.324179227751382
Change Price -> Record Invoice Receipt,907,681.0120360161704,455.6166666666667,982.7083333333333,1352.7833333333333,2834.366666666667,2857.8333333333335,5091.233333333334,617677.9166666666,0.14869486396952641,6.220945970662473
Record Goods Receipt -> Clear Invoice,550,1067.6481515151515,742.6500000000001,1829.3833333333332,2543.3,2567.8441666666668,2883.983333333333,2883.983333333333,587206.4833333334,0.14135941370944916,3.457677461343387
Change Approval for Purchase Order -> Change Approval for Purchase Order,1539,381.02817847086857,49.93333333333333,618.1,1125.0,1696.9666666666667,2248.45,2883.633333333333,586402.3666666667,0.14116583706515062,33.98464619492657
Vendor creates debit memo -> Record Invoice Receipt,1295,436.68554697554686,229.21666666666667,639.3,1163.5333333333333,1511.7666666666653,2200.686333333331,4600.8,565507.7833333332,0.1361358414272677,6.595361012142799
Cancel Invoice Receipt -> Clear Invoice,2979,164.66608481593377,0.016666666666666666,74.15,693.6333333333333,891.8016666666666,1683.5199999999954,3891.633333333333,490540.2666666667,0.11808875832441026,53508.1
Create Purchase Order Item -> Receive Order Confirmation,30830,15.910667099145854,1.5666666666666667,6.633333333333334,24.533333333333335,72.71666666666667,302.6236666666666,1369.0,490525.8666666667,0.11808529178305693,46.41489361702128
Record Service Entry Sheet -> Record Invoice Receipt,1798,252.1009176863181,41.38333333333334,155.29583333333335,455.65,745.8033333333323,4726.850499999993,8110.683333333333,453277.44999999995,0.10911840451077127,18.02182843334673
Cancel Goods Receipt -> Vendor creates debit memo,513,848.4527290448344,366.9166666666667,1803.15,1806.15,1807.15,1807.15,2553.5333333333333,435256.25000000006,0.10478012429989933,4.925232795821031
Record Goods Receipt -> Cancel Invoice Receipt,356,1106.6470505617976,1006.8,1665.9375,2399.166666666667,3104.516666666667,3914.4933333333256,5081.833333333333,393966.35,0.09484032250651803,3.0835485366176667
Change Approval for Purchase Order -> Change Quantity,319,1227.4746081504702,1244.4166666666667,1542.7,2210.3533333333335,2543.383333333326,5238.571999999999,5789.366666666667,391564.39999999997,0.09426209618682212,2.0438357999062418
Clear Invoice -> Remove Payment Block,759,500.6075757575757,266.3833333333333,859.0166666666667,1149.9833333333333,1738.3616666666683,3035.8459999999995,5134.416666666667,379961.14999999997,0.09146882216196249,6.525789901770637
Record Invoice Receipt -> Vendor creates invoice,3856,95.74177040110649,8.416666666666666,85.44166666666666,270.82500000000005,463.175,1006.54,7977.25,369180.26666666666,0.08887351814110264,55.030693069306935
Record Goods Receipt -> Record Goods Receipt,54177,6.7109880576628465,0.0,0.0,0.06666666666666667,6.603333333333285,174.45333333333232,2513.0,363581.2,0.08752564340915622,
Change Approval for Purchase Order -> Release Purchase Order,637,556.4504971219257,95.9,141.38333333333333,2874.3,2874.3,2874.3,2874.3,354458.9666666667,0.08532962958383067,29.9718456725756
Change Price -> Change Quantity,1104,320.97115036231884,22.116666666666667,484.4291666666667,1076.028333333334,1535.8358333333315,2178.1196666666697,2645.133333333333,354352.15,0.0853039153899262,69.44246420497355
Change Delivery Indicator -> Record Invoice Receipt,704,497.94275568181814,290.425,676.7958333333333,1142.6933333333338,1485.8225,4238.335333333335,4834.466666666666,350551.69999999995,0.08438902531449234,5.116028234483946
Clear Invoice -> Vendor creates invoice,1136,299.24322183098593,153.88333333333333,321.45,622.5250000000001,971.2833333333333,2937.2116666666734,7398.75,339940.30000000005,0.081834521361945,6.311816311058161
